Technology,Source,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
OCGT (small GT),GenCost 2022-23 Final report,1603,1703,1647,1593,1542,1494,1464,1450,1448,1445,1442,1440,1438,1435,1433,1431,1429,1426,1424,1420,1416,1411,1407,1404,1400,1395,1391,1387,1385,1380,1377,1371
OCGT (large GT),GenCost 2022-23 Final report,1008,1071,1030,990,950,906,862,861,859,858,855,854,853,851,850,849,848,846,845,843,840,837,835,833,830,828,825,823,821,821,815,815
CCGT,GenCost 2022-23 Final report,1888,1824,1817,1811,1807,1787,1769,1753,1749,1746,1743,1741,1738,1734,1732,1729,1726,1724,1722,1716,1711,1707,1701,1696,1692,1686,1682,1677,1673,1668,1664,1656
CCGT with CCS,GenCost 2022-23 Final report,4656,4641,4631,4629,4628,4605,4587,4576,4576,4576,4577,4577,4578,4444,4292,4118,4057,3990,3928,3871,3838,3814,3797,3780,3769,3760,3750,3737,3730,3714,3704,3687
Biomass,GenCost 2022-23 Final report,8367,9267,9085,8918,8756,8445,8203,8026,8040,8054,8068,8082,8097,8112,8128,8143,8159,8175,8191,8196,8200,8206,8211,8215,8221,8225,8230,8236,8241,8241,8241,8241
Large scale Solar PV,GenCost 2022-23 Final report,1681,1621,1505,1391,1280,1220,1179,1167,1131,1110,1093,1080,1068,1052,1038,1013,986,937,897,846,812,774,755,743,739,735,730,726,723,721,719,715
Solar Thermal (15hrs Storage),GenCost 2022-23 Final report,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179
Battery storage (1hr storage),GenCost 2022-23 Final report,996,1001,943,893,848,854,834,814,793,773,753,732,712,692,672,652,641,631,621,612,605,599,588,581,573,567,560,555,550,547,547,545
Battery storage (2hrs storage),GenCost 2022-23 Final report,1439,1448,1362,1287,1223,1189,1157,1123,1091,1056,1024,990,958,924,892,858,840,828,813,800,791,783,768,757,746,738,731,723,716,714,714,710
Battery storage (4hrs storage),GenCost 2022-23 Final report,2335,2348,2211,2087,1980,1920,1882,1822,1758,1698,1634,1574,1510,1450,1386,1326,1296,1270,1245,1228,1210,1202,1176,1155,1142,1129,1116,1108,1099,1095,1095,1086
Battery storage (8hrs storage),GenCost 2022-23 Final report,4149,4175,3926,3704,3516,3447,3370,3251,3131,3011,2891,2772,2652,2532,2412,2301,2241,2198,2147,2113,2087,2070,2027,1993,1959,1942,1925,1908,1891,1882,1882,1873
Wind,GenCost 2022-23 Final report,2825,2827,2694,2564,2442,2301,2198,2134,2127,2120,2115,2111,2109,2105,2103,2100,2098,2096,2095,2092,2088,2084,2080,2074,2071,2067,2065,2062,2061,2058,2057,2055
Wind - offshore (fixed),GenCost 2022-23 Final report,6076,5860,5654,5457,5265,5169,5132,5152,5136,5121,5105,5089,5074,5058,5043,5028,5013,4997,4982,4966,4949,4933,4916,4900,4882,4866,4850,4834,4824,4807,4796,4773
Wind - offshore (floating),GenCost 2022-23 Final report,8418,8117,7650,7204,6784,6424,6191,6079,6049,6034,6032,6021,5988,5953,5928,5927,5930,5932,5935,5934,5932,5931,5929,5927,5925,5924,5925,5925,5925,5924,5924,5922
Hydrogen reciprocating engines,GenCost 2022-23 Final report,2607,2288,2281,2277,2273,2258,2247,2236,2232,2228,2224,2221,2217,2213,2209,2206,2203,2200,2196,2190,2184,2177,2171,2164,2158,2151,2145,2140,2135,2128,2123,2113