Generator Station,Generating Unit,Technology Type,Min Stable Level (MW),Min Stable Level (% of nameplate)
Condamine,CPSA_GT1,CCGT - Gas Turbine,20.00,
Condamine,CPSA_GT2,CCGT - Gas Turbine,20.00,
Condamine,CPSA_ST,CCGT - Steam Turbine,13.10,
Darling Downs,DDPS1_GT1,CCGT - Gas Turbine,58.30,
Darling Downs,DDPS1_GT2,CCGT - Gas Turbine,58.30,
Darling Downs,DDPS1_GT3,CCGT - Gas Turbine,58.30,
Darling Downs,DDPS1_ST,CCGT - Steam Turbine,38.90,
Newport,NPS,Gas-powered steam turbine,100.00,
Osborne,OsborneGT,CCGT - Gas Turbine,90.00,
Osborne,OsborneST,CCGT - Steam Turbine,20.00,
Pelican Point,PPCCGTGT1,CCGT - Gas Turbine,60.00,
Pelican Point,PPCCGTGT2,CCGT - Gas Turbine,60.00,
Pelican Point,PPCCGTST,CCGT - Steam Turbine,42.00,
Quarantine,QPS5,OCGT,73.50,
Swanbank E GT,SWAN_E,CCGT,95.00,
Tallawarra,TALWA1,CCGT,190.00,
Torrens Island B,TORRB1,Gas-powered steam turbine,40.00,
Torrens Island B,TORRB2,Gas-powered steam turbine,40.00,
Torrens Island B,TORRB3,Gas-powered steam turbine,40.00,
Torrens Island B,TORRB4,Gas-powered steam turbine,40.00,
Tamar Valley,TVCC201_GT,CCGT - Gas Turbine,70.80,
Tamar Valley,TVCC201_ST,CCGT - Steam Turbine,41.40,
Townsville Power Station,YABULU,CCGT - Gas Turbine,83.00,
Townsville Power Station,YABULU2,CCGT - Steam Turbine,57.00,
Yarwun Cogen,YARWUN_1,CCGT,106.00,
CCGT,,0.46
CCGT with CCS,,0.46
Biomass,,0.4