Generator Station,Generating Unit,Technology Type,Min Up/Down Time (h)
Condamine,CPSA_GT1,CCGT - Gas Turbine,4.00
Condamine,CPSA_GT2,CCGT - Gas Turbine,4.00
Darling Downs,DDPS1_GT1,CCGT - Gas Turbine,4.00
Darling Downs,DDPS1_GT2,CCGT - Gas Turbine,4.00
Darling Downs,DDPS1_GT3,CCGT - Gas Turbine,4.00
Newport,NPS,Gas-powered steam turbine,4.00
Osborne,OsborneGT,CCGT - Gas Turbine,4.00
Pelican Point,PPCCGTGT1,CCGT - Gas Turbine,4.00
Pelican Point,PPCCGTGT2,CCGT - Gas Turbine,4.00
Swanbank E GT,SWAN_E,CCGT,4.00
Tallawarra,TALWA1,CCGT,4.00
Torrens Island B,TORRB1,Gas-powered steam turbine,4.00
Torrens Island B,TORRB2,Gas-powered steam turbine,4.00
Torrens Island B,TORRB3,Gas-powered steam turbine,4.00
Torrens Island B,TORRB4,Gas-powered steam turbine,4.00
Tamar Valley,TVCC201_GT,CCGT - Gas Turbine,4.00
Townsville Power Station,YABULU,CCGT - Gas Turbine,4.00
OCGT (small GT),,,1.00
OCGT (large GT),,,1.00
CCGT,,,4.00
CCGT with CCS,,,4.00