GenName,Region,Asset Type,Site Name,Owner,Technology Type,Fuel Type,DUID,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId,AEMO KCI Id,Survey Last Requested,Survey Version DateTime
Stubbo Solar Farm,NSW1,Existing Plant,Stubbo Solar Farm,ACEN AUSTRALIA,Solar PV - Single axis tracking,Solar - Solar,STUBSF1,1,198,198,198,198,198,,In Commissioning,SS,1/12/24 0:00,2073,,Existing less Announced Withdrawal,Solar,1894,N00017,6/5/25 0:00,18/3/25 15:56
Walla Walla Solar Farm,NSW1,Project,Walla Walla Solar Farm,FRV Australia (Walla Walla Asset Co Pty Ltd (ACN 634 728 868) as trustee for the Walla Walla Asset Trust),Solar PV - Single axis tracking,Solar - Solar,WLWLSF1,48,,3.17,,151.97,151.97,,In Commissioning,SS,1/3/25 0:00,2054,,Existing less Announced Withdrawal,Solar,1712,,6/5/25 0:00,21/3/25 13:17
Wandoan South Solar Farm - stage 1,QLD1,Existing Plant,Wandoan South Solar Stage 1,Vena Evergy,Solar PV - Single axis tracking,Solar - Solar,WANDSF1,1,160,160,160,160,160,,In Commissioning,SS,1/8/23 0:00,2053,,Existing less Announced Withdrawal,Solar,1455,Q00007,6/5/25 0:00,18/3/25 13:13
Wellington North Solar Farm (Lightsource),NSW1,Existing Plant,Wellington North Solar Farm (Lightsource),Wellington North Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WELNSF1,104,,4.2,,436.8,436.8,,In Service,SS,1/10/24 0:00,2064,,Existing less Announced Withdrawal,Solar,1960,N00047,1/2/25 0:00,1/4/25 6:15
Wollar Solar Farm,NSW1,Project,Wollar Solar Farm,Wollar Solar Development Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WOLARSF1,1,0,280,0,280,280,,Committed,SS,1/5/25 0:00,2054,,Committed,Solar,1716,,6/5/25 0:00,10/3/25 12:17
Woolooga Solar Farm,QLD1,Existing Plant,Woolooga Solar Farm,Woolooga Fund Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WOOLGSF1,89,,2.5,,222.5,222.5,,In Service,SS,1/9/22 0:00,2058,,Existing less Announced Withdrawal,Solar,1672,,1/2/25 0:00,31/3/25 22:35
Wunghnu Solar Farm,VIC1,Existing Plant,Wunghnu Solar Farm,Sun Spot 3 Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WUNUSF1,34,0,2.75,0,93.5,93.5,,In Commissioning,SS,1/3/25 0:00,2065,,Existing less Announced Withdrawal,Solar,1929,,6/5/25 0:00,1/4/25 6:20
Clarke Creek Wind Farm,QLD1,Existing Plant,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CLRKCWF1,77,0,4.5,0,346.5,346.5,,In Commissioning,SS,1/9/25 0:00,2049,,Existing less Announced Withdrawal,Wind,1988,,6/5/25 0:00,14/3/25 14:29
Crookwell 3 Wind Farm,NSW1,Existing Plant,Crookwell 3 Wind Farm,Crookwell 3 Development Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CROOKWF3,16,,3.6,,57.6,57.6,,In Commissioning,SS,1/11/24 0:00,2054,,Existing less Announced Withdrawal,Wind,1062,N00041,6/5/25 0:00,10/6/25 12:04
Flyers Creek Wind Farm,NSW1,Existing Plant,Flyers Creek Wind Farm,Flyers Creek Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,FLYCRKWF,38,3.83,3.83,145.54,145.54,145.54,,In Service,SS,1/10/24 0:00,2063,,Existing less Announced Withdrawal,Wind,1268,,6/5/25 0:00,20/5/25 15:49
Golden Plains Wind Farm East,VIC1,Existing Plant,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,Wind Turbine - Onshore,Wind - Wind,GPWFEST1,40,6.2,6.2,248,248,248,,In Commissioning,SS,1/12/25 0:00,2055,,Existing less Announced Withdrawal,Wind,1487,V00061,6/5/25 0:00,7/3/25 20:07
Goyder South Wind Farm 1A,SA1,Existing Plant,Goyder South Wind Farm 1A,Goyder Wind Farm 1A Pty Ltd as trustee for Goyder Wind Farm 1A Trust,Wind Turbine - Onshore,Wind - Wind,GSWF1A,38,0,5.5,0,209,209,,In Commissioning,SS,1/12/24 0:00,2048,,Existing less Announced Withdrawal,Wind,1964,S00003,6/5/25 0:00,14/3/25 8:18
Goyder South Wind Farm 1B,SA1,Existing Plant,Goyder South Wind Farm 1B,Goyder Wind Farm 1B Pty Ltd as trustee for Goyder Wind Farm 1B Trust,Wind Turbine - Onshore,Wind - Wind,GSWF1B1,37,0,5.5,0,203.5,203.5,,In Commissioning,SS,1/12/24 0:00,2049,,Existing less Announced Withdrawal,Wind,2404,S00003,6/5/25 0:00,14/3/25 8:32
Hawkesdale Wind Farm,VIC1,Existing Plant,Hawkesdale Wind Farm,Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust,Wind Turbine - Onshore,Wind - Wind,HD1WF1,23,4.2,4.2,96.6,96.6,96.6,,In Service,SS,1/10/24 0:00,2054,,Existing less Announced Withdrawal,Wind,1089,V00031,6/5/25 0:00,13/3/25 10:01
Ryan Corner Wind Farm,VIC1,Existing Plant,Ryan Corner Wind Farm,Ryan Corner Development Pty Ltd,Wind Turbine - Onshore,Wind - Wind,RYANCWF1,52,4.2,4.2,218.4,218.4,218.4,,In Commissioning,SS,1/10/24 0:00,2054,,Existing less Announced Withdrawal,Wind,1176,V00019,6/5/25 0:00,10/6/25 12:10
Rye Park Wind Farm,NSW1,Existing Plant,Rye Park Wind Farm,Tilt Renewables Australia Pty Ltd,Wind Turbine - Onshore,Wind - Wind,RYEPARK1,66,,6,,396,396,,In Service,SS,1/12/24 0:00,2048,,Existing less Announced Withdrawal,Wind,1353,N00046,6/5/25 0:00,28/3/25 16:19
Wambo Wind Farm,QLD1,Project,Wambo Wind Farm, Cubico Sustainable Investments Australia Pty Ltd,Wind Turbine - Onshore,Wind - Wind,WAMBOWF1,1,252,252,252,252,252,,Committed,SS,1/2/25 0:00,,,Committed,Wind,2287,Q00028,6/5/25 0:00,
Bayswater,NSW1,Existing Plant,Bayswater,AGL Macquarie Pty Limited,Turbine - Steam Sub Critical,Fossil - Black Coal,BW01,1,0,660,0,660,660,,In Service,S,,2033,,Existing less Announced Withdrawal,Coal,1014,,1/2/25 0:00,11/3/25 10:17
Eraring,NSW1,Existing Plant,Eraring,Origin Energy Eraring Pty Ltd,Turbine - Steam Sub Critical,Fossil - Black Coal,ER01,1,,720,,720,720,,In Service - Announced Withdrawal (Permanent),S,,2027,19/8/27 0:00,Announced Withdrawal,Coal,1074,,1/2/25 0:00,14/3/25 12:45
Mt Piper,NSW1,Existing Plant,Mt Piper,EnergyAustralia NSW Pty Ltd,Turbine - Steam Sub Critical,Fossil - Black Coal,MP1,1,,730,,730,730,,In Service,S,,2040,,Existing less Announced Withdrawal,Coal,1144,,1/2/25 0:00,13/3/25 11:28
Vales Point B,NSW1,Existing Plant,Vales Point B,Delta Electricity,Turbine - Steam Sub Critical,Fossil - Black Coal,VP5,1,250,660,250,660,660,,In Service,S,,2033,,Existing less Announced Withdrawal,Coal,1219,,6/5/25 0:00,27/5/25 15:21
Callide B,QLD1,Existing Plant,Callide B,CS Energy,Turbine - Steam Sub Critical,Fossil - Black Coal,CALL_B_1,1,,350,,350,350,,In Service,S,,2031,,Existing less Announced Withdrawal,Coal,1035,,1/2/25 0:00,23/5/25 11:47
Callide C,QLD1,Existing Plant,Callide C,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd. ,Turbine - Steam Super Critical,Fossil - Black Coal,CPP_3,1,,424,,424,424,,In Service,S,1/4/24 0:00,,,Existing less Announced Withdrawal,Coal,1036,,1/2/25 0:00,14/3/25 10:01
Gladstone,QLD1,Existing Plant,Gladstone,Gladstone Power Station Participants,Turbine - Steam Sub Critical,Fossil - Black Coal,GSTONE1,1,,280,,280,280,,In Service,S,,2035,,Existing less Announced Withdrawal,Coal,1077,,1/2/25 0:00,23/5/25 11:49
Kogan Creek,QLD1,Existing Plant,Kogan Creek,Kogan Creek Power Station Pty Ltd,Turbine - Steam Super Critical,Fossil - Black Coal,KPP_1,1,,744,,744,744,,In Service,S,,2042,,Existing less Announced Withdrawal,Coal,1104,,1/2/25 0:00,23/5/25 11:39
Millmerran,,,,,,,,,,,,,,,,,,,,,,,,,
Stanwell,QLD1,Existing Plant,Stanwell,Stanwell Corporation Limited,Turbine - Steam Sub Critical,Fossil - Black Coal,STAN-1,1,,365,,365,365,,In Service,S,,2043,,Existing less Announced Withdrawal,Coal,1185,,1/2/25 0:00,10/3/25 11:53
Tarong,QLD1,Existing Plant,Tarong,Stanwell Corporation Limited,Turbine - Steam Sub Critical,Fossil - Black Coal,TARONG#1,1,,350,,350,350,,In Service,S,,2036,,Existing less Announced Withdrawal,Coal,1197,,1/2/25 0:00,10/3/25 11:58
Tarong North,QLD1,Existing Plant,Tarong North,Stanwell Corporation Limited,Turbine - Steam Super Critical,Fossil - Black Coal,TNPS1,1,450,450,450,450,450,,In Service,S,,2037,,Existing less Announced Withdrawal,Coal,1199,,1/2/25 0:00,10/3/25 11:54
Loy Yang A Power Station,VIC1,Existing Plant,Loy Yang A Power Station,AGL Loy Yang Marketing Pty Ltd,Turbine - Steam Sub Critical,Fossil - Brown Coal,LYA1,1,0,560,0,560,560,,In Service,S,,2035,,Existing less Announced Withdrawal,Coal,1124,,1/2/25 0:00,20/3/25 10:26
Loy Yang B,VIC1,Existing Plant,Loy Yang B,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,Turbine - Steam Sub Critical,Fossil - Brown Coal,LOYYB1,1,,580,,580,580,,In Service,S,,2047,,Existing less Announced Withdrawal,Coal,1125,,1/2/25 0:00,4/3/25 11:43
Yallourn W,VIC1,Existing Plant,Yallourn W,EnergyAustralia Yallourn Pty Ltd,Turbine - Steam Sub Critical,Fossil - Brown Coal,YWPS1,1,,350,,350,350,,In Service - Announced Withdrawal (Permanent),S,,2028,1/7/28 0:00,Announced Withdrawal,Coal,1247,,1/2/25 0:00,11/3/25 12:20
Tallawarra,NSW1,Existing Plant,Tallawarra,EnergyAustralia Tallawarra Pty Ltd,Turbine - CCGT,Fossil - Natural Gas Pipeline,TALWA1,1,,400,,400,400,,In Service,S,,2043,,Existing less Announced Withdrawal,CCGT,1192,,1/2/25 0:00,11/3/25 12:13
Condamine A,QLD1,Existing Plant,Condamine A,QGC Sales QLD Pty Ltd,Turbine - CCGT,Fossil - Coal Seam Methane,CPSA,2,,43.7,,87.4,87.4,,In Service,S,,2039,,Existing less Announced Withdrawal,CCGT,1054,,1/2/25 0:00,14/5/25 15:15
Darling Downs,QLD1,Existing Plant,Darling Downs,Origin Energy Power Limited,Turbine - CCGT,Fossil - Coal Seam Methane,DDPS1,1,,280,,280,280,,In Service,S,,2045,,Existing less Announced Withdrawal,CCGT,1066,,1/2/25 0:00,14/3/25 12:36
Swanbank E GT,QLD1,Existing Plant,Swanbank E GT,CleanCo Queensland Limited,Turbine - CCGT,Fossil - Coal Seam Methane,SWAN_E,1,,385,,385,385,,In Service,S,,2036,,Existing less Announced Withdrawal,CCGT,1190,,1/2/25 0:00,19/5/25 16:27
Townsville Power Station,QLD1,Existing Plant,Townsville Power Station,RATCH-Australia,Turbine - CCGT,Fossil - Natural Gas Pipeline,YABULU,1,,160,,160,160,,In Service,S,,2046,,Existing less Announced Withdrawal,CCGT,1724,,1/2/25 0:00,19/3/25 15:33
Yarwun Cogen,,,,,,,,,,,,,,,,,,,,,,,,,
Osborne,SA1,Existing Plant,Osborne,Osborne Cogeneration Pty Ltd,Turbine - CCGT,Fossil - Natural Gas Pipeline,OSB-AG,1,,62,,62,62,,In Service - Announced Withdrawal (Permanent),S,,2027,31/12/27 0:00,Announced Withdrawal,CCGT,1154,,1/2/25 0:00,14/3/25 12:40
Pelican Point,SA1,Existing Plant,Pelican Point,Pelican Point Power Limited,Turbine - CCGT,Fossil - Natural Gas Pipeline,PPCCGT,1,0,171,0,171,171,,In Service,S,,2037,,Existing less Announced Withdrawal,CCGT,1158,,1/2/25 0:00,5/3/25 11:08
Tamar Valley Combined Cycle,TAS1,Existing Plant,Tamar Valley Combined Cycle,AETV Pty Ltd,Turbine - CCGT,Fossil - Natural Gas Pipeline,TVCC201,1,,140,,140,140,,In Service,S,,2050,,Existing less Announced Withdrawal,CCGT,1194,,1/2/25 0:00,26/3/25 14:28
Colongra,NSW1,Existing Plant,Colongra,Snowy Hydro Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,CG1,1,,181,,181,181,,In Service,S,,2070,,Existing less Announced Withdrawal,OCGT,1053,,1/2/25 0:00,14/3/25 14:40
Smithfield Energy Facility,NSW1,Existing Plant,Smithfield Energy Facility,Smithfield Power Generation Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,SITHE01,3,41.9,41.9,125.7,125.7,125.7,,In Service,S,,2044,,Existing less Announced Withdrawal,OCGT,1179,,1/2/25 0:00,20/3/25 10:09
Uranquinty,NSW1,Existing Plant,Uranquinty,Origin Energy Uranquinty Power Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,URANQ11,1,173,173,173,173,173,,In Service,S,,2044,,Existing less Announced Withdrawal,OCGT,1218,,1/2/25 0:00,14/3/25 12:42
Barcaldine Power Station,QLD1,Existing Plant,Barcaldine Power Station,Ergon Energy Queensland Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,BARCALDN,1,,37,,37,37,,In Service,S,,2034,,Existing less Announced Withdrawal,OCGT,1010,,1/2/25 0:00,12/3/25 15:12
Braemar,QLD1,Existing Plant,Braemar,Braemar Power Project Pty Ltd,Turbine - OCGT,Fossil - Coal Seam Methane,BRAEMAR1,1,,188,,188,188,,In Service,S,,2046,,Existing less Announced Withdrawal,OCGT,1026,,1/2/25 0:00,6/3/25 12:28
Braemar 2 Power Station,QLD1,Existing Plant,Braemar 2 Power Station,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,Turbine - OCGT,Fossil - Coal Seam Methane,BRAEMAR5,1,,173,,173,173,,In Service,S,,2049,,Existing less Announced Withdrawal,OCGT,1027,,1/2/25 0:00,13/3/25 19:45
Mt Stuart,QLD1,Existing Plant,Mt Stuart,Origin Energy Mt Stuart,Turbine - OCGT,Fossil - Diesel,MSTUART1,1,,146,,146,146,,In Service,S,,2033,,Existing less Announced Withdrawal,OCGT,1145,,1/2/25 0:00,9/4/25 10:30
Oakey Power Station,QLD1,Existing Plant,Oakey Power Station,Oakey Power Holdings Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,OAKEY1,1,,173,,173,173,,In Service,S,,2050,,Existing less Announced Withdrawal,OCGT,1433,,1/2/25 0:00,12/3/25 15:02
Roma,QLD1,Existing Plant,Roma,Origin Energy Power Limited,Turbine - OCGT,Fossil - Natural Gas Pipeline,ROMA_7,1,,40,,40,40,,In Service,S,,2034,,Existing less Announced Withdrawal,OCGT,1173,,1/2/25 0:00,14/3/25 12:40
Bolivar Power Station,SA1,Existing Plant,Bolivar Power Station,Iberdrola Australia Energy Markets Pty Limited,Turbine - OCGT,Fossil - Natural Gas Pipeline,BOLIVPS1,4,,32.1,,128.4,128.4,,In Service,S,1/12/22 0:00,2045,,Existing less Announced Withdrawal,OCGT,1533,,1/2/25 0:00,20/3/25 9:46
Dry Creek GT,SA1,Existing Plant,Dry Creek GT,Synergen Power Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,DRYCGT1,1,,52,,52,52,,In Service,S,,2030,,Existing less Announced Withdrawal,OCGT,1070,,1/2/25 0:00,5/3/25 11:20
Hallett GT,SA1,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,AGLHAL,1,,17,,17,17,,In Service,S,,2036,,Existing less Announced Withdrawal,OCGT,1086,,1/2/25 0:00,2/6/25 17:21
Ladbroke Grove,SA1,Existing Plant,Ladbroke Grove,Origin Energy Power Limited,Turbine - OCGT,Fossil - Natural Gas Pipeline,LADBROK1,1,,40,,40,40,,In Service,S,,2035,,Existing less Announced Withdrawal,OCGT,1107,,1/2/25 0:00,14/3/25 12:37
Mintaro GT,SA1,Existing Plant,Mintaro GT,Synergen Power Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,MINTARO,1,,90,,90,90,,In Service,S,,2030,,Existing less Announced Withdrawal,OCGT,1135,,1/2/25 0:00,5/3/25 11:20
Port Lincoln GT,SA1,Existing Plant,Port Lincoln GT,Synergen Power Pty Ltd,Turbine - OCGT,Fossil - Diesel,POR01,2,,25,,50,50,,In Service - Announced Withdrawal (Permanent),S,,2028,1/1/28 0:00,Announced Withdrawal,OCGT,1163,,1/2/25 0:00,5/3/25 11:21
Quarantine,SA1,Existing Plant,Quarantine,Origin Energy Power Limited,Turbine - OCGT,Fossil - Natural Gas Pipeline,QPS1,1,0,29,0,29,29,,In Service,S,,2053,,Existing less Announced Withdrawal,OCGT,1166,,1/2/25 0:00,14/3/25 12:39
Snapper Point Power Station,SA1,Existing Plant,Snapper Point Power Station,Port Adelaide Energy Pty Ltd,Turbine - OCGT,Fossil - Natural Gas,SNAPPER1,1,,30.8,,30.8,30.8,,In Service,S,1/6/22 0:00,2046,,Existing less Announced Withdrawal,OCGT,1532,,1/2/25 0:00,14/3/25 14:28
Snuggery,SA1,Existing Plant,Snuggery,Synergen Power Pty Ltd,Turbine - OCGT,Fossil - Diesel,SNUG1,3,,21,,63,63,,In Service - Announced Withdrawal (Permanent),S,,2028,1/1/28 0:00,Announced Withdrawal,OCGT,1182,,6/5/25 0:00,13/5/25 9:49
Bell Bay Three,TAS1,Existing Plant,Bell Bay Three,AETV Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,BBTHREE1,1,,40,,40,40,,In Service,S,,2040,,Existing less Announced Withdrawal,OCGT,1015,,1/2/25 0:00,21/3/25 8:35
Tamar Valley Peaking,TAS1,Existing Plant,Tamar Valley Peaking,AETV Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,TVPP104,1,58,58,58,58,58,,In Service,S,,2050,,Existing less Announced Withdrawal,OCGT,1195,,1/2/25 0:00,21/3/25 8:45
Bairnsdale,VIC1,Existing Plant,Bairnsdale,Alinta DEBO,Turbine - OCGT,Fossil - Natural Gas Pipeline,BDL01,1,,47,,47,47,,In Service,S,,2042,,Existing less Announced Withdrawal,OCGT,1005,,1/2/25 0:00,11/3/25 9:58
Jeeralang A,VIC1,Existing Plant,Jeeralang A,EnergyAustralia Ecogen Py Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,JLA01,1,,53,,53,53,,In Service,S,,2039,,Existing less Announced Withdrawal,OCGT,1373,,1/2/25 0:00,11/3/25 12:26
Jeeralang B,VIC1,Existing Plant,Jeeralang B,EnergyAustralia Ecogen Pty Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,JLB01,1,,76,,76,76,,In Service,S,,2039,,Existing less Announced Withdrawal,OCGT,1374,,1/2/25 0:00,11/3/25 12:26
Laverton North,VIC1,Existing Plant,Laverton North,Snowy Hydro Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,LNGS1,1,,156,,156,156,,In Service,S,,2070,,Existing less Announced Withdrawal,OCGT,1115,,1/2/25 0:00,14/3/25 14:42
Mortlake,VIC1,Existing Plant,Mortlake,Origin Energy Power Limited,Turbine - OCGT,Fossil - Natural Gas Pipeline,MORTLK11,1,,292,,292,292,,In Service,S,,2047,,Existing less Announced Withdrawal,OCGT,1139,,1/2/25 0:00,14/3/25 12:37
Somerton,VIC1,Existing Plant,Somerton,AGL Hydro partnership,Turbine - OCGT,Fossil - Natural Gas Pipeline,AGLSOM,4,0,42.5,0,170,170,,In Service,S,,2033,,Existing less Announced Withdrawal,OCGT,1183,,1/2/25 0:00,11/3/25 11:11
Valley Power,VIC1,Existing Plant,Valley Power,Snowy Hydro Ltd,Turbine - OCGT,Fossil - Natural Gas Pipeline,VPGS1,1,50,50,50,50,50,,In Service,S,,2070,,Existing less Announced Withdrawal,OCGT,1220,,1/2/25 0:00,14/3/25 14:58
Torrens Island B,SA1,Existing Plant,Torrens Island B,AGL SA Generation Pty Limited ,Turbine - Steam Sub Critical,Fossil - Natural Gas Pipeline,TORRB1,1,0,200,0,200,200,,In Service - Announced Withdrawal (Permanent),S,,2026,30/6/26 0:00,Announced Withdrawal,Gas other,1210,,1/2/25 0:00,11/3/25 11:12
Newport,VIC1,Existing Plant,Newport,EnergyAustralia Ecogen Pty Ltd,Turbine - Steam Sub Critical,Fossil - Natural Gas Pipeline,NPS,1,,500,,500,500,,In Service,S,,2039,,Existing less Announced Withdrawal,Gas other,1150,,1/2/25 0:00,11/3/25 12:12
Angaston,SA1,Existing Plant,Angaston,Snowy Hydro Ltd,Reciprocating Engine - Compression ignition,Fossil - Diesel,ANGAST1,1,,15.4,,15.4,15.4,,In Service,S,,2070,,Existing less Announced Withdrawal,Other,1002,,1/2/25 0:00,14/3/25 14:37
Barker Inlet Power Station,SA1,Existing Plant,Barker Inlet Power Station,AGL Barker Inlet Pty Ltd,Reciprocating Engine - Spark ignition,Fossil - Natural Gas Pipeline,BARKIPS1,12,,17.5,,210,210,,In Service,S,1/1/20 0:00,2044,,Existing less Announced Withdrawal,Gas other,1463,,1/2/25 0:00,20/3/25 10:22
Lonsdale,SA1,Existing Plant,Lonsdale,Lumo Generation SA Pty Ltd,Reciprocating Engine - Compression ignition,Fossil - Diesel,LONSDALE,18,,1.12,,20.16,20.16,,In Service,S,,2070,,Existing less Announced Withdrawal,Other,1122,,1/2/25 0:00,14/3/25 14:43
Port Stanvac 1,SA1,Existing Plant,Port Stanvac 1,Snowy Hydro Ltd,Reciprocating Engine - Compression ignition,Fossil - Diesel,PTSTAN1,36,,1.57,,56.52,56.52,,In Service,S,,2070,,Existing less Announced Withdrawal,Other,1391,,1/2/25 0:00,14/3/25 14:59
Blowering,NSW1,Existing Plant,Blowering,Snowy Hydro Ltd,Hydro - Dam,Hydro - Water,BLOWERNG,1,80,80,80,80,80,,In Service,S,,2070,,Existing less Announced Withdrawal,Water,1021,,1/2/25 0:00,14/3/25 14:39
Guthega,NSW1,Existing Plant,Guthega,Snowy Hydro Ltd,Hydro - Dam,Hydro - Water,GUTHEGA,2,,30,,60,60,,In Service,S,,2070,,Existing less Announced Withdrawal,Water,1083,,1/2/25 0:00,14/3/25 14:40
Hume Dam NSW,NSW1,Existing Plant,Hume Dam NSW,GSPOWER,Hydro - Dam,Hydro - Water,HUMENSW,1,29,29,29,29,29,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1732,,1/2/25 0:00,6/3/25 12:00
Shoalhaven,NSW1,Existing Plant,Shoalhaven,Origin Energy Eraring Pty Ltd,Storage - Pumped hydro,Hydro - Water,SHGEN,2,0,41,0,82,82,480,In Service,S,,2069,,Existing less Announced Withdrawal,Water,1177,,1/2/25 0:00,14/3/25 12:44
Tumut 3,NSW1,Existing Plant,Tumut 3,Snowy Hydro Ltd,Hydro - Dam,Hydro - Water,TUMUT3,6,,250,,1500,1500,,In Service,S,,2070,,Existing less Announced Withdrawal,Water,1215,,1/2/25 0:00,14/3/25 14:45
Upper Tumut,NSW1,Existing Plant,Upper Tumut,Snowy Hydro Ltd,Hydro - Dam,Hydro - Water,UPPTUMUT,4,,72,,288,288,,In Service,S,,2070,,Existing less Announced Withdrawal,Water,1217,,1/2/25 0:00,14/3/25 15:24
Barron Gorge,QLD1,Existing Plant,Barron Gorge,CleanCo Queensland Limited,Hydro - Run of River,Hydro - Water,BARRON-1,1,,35,,35,35,,In Service,S,,2063,,Existing less Announced Withdrawal,Water,1012,,1/2/25 0:00,19/5/25 16:24
Kareeya,QLD1,Existing Plant,Kareeya,CleanCo Queensland Limited,Hydro - Run of River,Hydro - Water,KAREEYA1,1,,21.6,,21.6,21.6,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1100,,1/2/25 0:00,19/5/25 16:11
Wivenhoe,QLD1,Existing Plant,Wivenhoe,CleanCo Queensland Limited,Storage - Pumped hydro,Hydro - Water,W/HOE#1,1,,285,,285,285,3000,In Service,S,,2084,,Existing less Announced Withdrawal,Water,1235,,1/2/25 0:00,19/5/25 16:28
Bastyan,TAS1,Existing Plant,Bastyan,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,BASTYAN,1,,79.9,,79.9,79.9,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1013,,1/2/25 0:00,21/3/25 8:34
Catagunya / Liapootah / Wayatinah,TAS1,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,LI_WY_CA,1,24,24,24,24,24,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1041,,1/2/25 0:00,21/3/25 8:36
Cethana,TAS1,Existing Plant,Cethana,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,CETHANA,1,85,85,85,85,85,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1043,,1/2/25 0:00,21/3/25 8:37
Devils Gate,TAS1,Existing Plant,Devils Gate,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,DEVILS_G,1,60,60,60,60,60,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1069,,1/2/25 0:00,21/3/25 8:37
Fisher,TAS1,Existing Plant,Fisher,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,FISHER,1,43.2,43.2,43.2,43.2,43.2,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1076,,1/2/25 0:00,21/3/25 8:38
