GenName,Region,Asset Type,Site Name,Owner,Technology Type,Fuel Type,DUID,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId,AEMO KCI Id,Survey Last Requested,Survey Version DateTime
Gordon,TAS1,Existing Plant,Gordon,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,GORDON,3,144,144,432,432,432,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1081,,1/2/25 0:00,21/3/25 8:40
John Butters,TAS1,Existing Plant,John Butters,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,JBUTTERS,1,144,144,144,144,144,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1097,,1/2/25 0:00,21/3/25 8:40
Lake Echo,TAS1,Existing Plant,Lake Echo,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,LK_ECHO,1,32.4,32.4,32.4,32.4,32.4,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1111,,1/2/25 0:00,21/3/25 8:42
Lemonthyme / Wilmot,TAS1,Existing Plant,Lemonthyme / Wilmot,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,LEM_WIL,1,30.6,30.6,30.6,30.6,30.6,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1116,,1/2/25 0:00,21/3/25 8:43
Mackintosh,TAS1,Existing Plant,Mackintosh,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,MACKNTSH,1,79.9,79.9,79.9,79.9,79.9,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1130,,1/2/25 0:00,21/3/25 8:43
Meadowbank,TAS1,Existing Plant,Meadowbank,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,MEADOWBK,1,40,40,40,40,40,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1133,,1/2/25 0:00,21/3/25 8:44
Poatina,TAS1,Existing Plant,Poatina,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,POAT110,2,50,50,100,100,100,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1162,,1/2/25 0:00,21/3/25 8:33
Reece,TAS1,Existing Plant,Reece,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,REECE1,1,115.6,115.6,115.6,115.6,115.6,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1168,,1/2/25 0:00,21/3/25 8:44
Tarraleah,TAS1,Existing Plant,Tarraleah,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,TARRALEA,6,15,15,90,90,90,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1200,,1/2/25 0:00,2/4/25 13:23
Trevallyn,TAS1,Existing Plant,Trevallyn,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,TREVALLN,2,20,20,40,40,40,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1213,,1/2/25 0:00,21/3/25 8:46
Tribute,TAS1,Existing Plant,Tribute,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,TRIBUTE,1,82.8,82.8,82.8,82.8,82.8,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1214,,1/2/25 0:00,21/3/25 8:47
Tungatinah,TAS1,Existing Plant,Tungatinah,Hydro-Electric Corporation,Hydro - Dam,Hydro - Water,TUNGATIN,5,25,25,125,125,125,,In Service,S,,2100,,Existing less Announced Withdrawal,Water,1216,,1/2/25 0:00,21/3/25 8:34
Bogong / Mackay,VIC1,Existing Plant,Bogong / Mackay,AGL Hydro Partnership,Hydro - Dam,Hydro - Water,MCKAY1,2,0,70,0,140,140,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1023,,1/2/25 0:00,11/3/25 10:40
Dartmouth,VIC1,Existing Plant,Dartmouth,AGL Hydro Partnership,Hydro - Dam,Hydro - Water,DARTM1,1,,185,,185,185,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1068,,1/2/25 0:00,11/3/25 10:44
Eildon,VIC1,Existing Plant,Eildon,AGL Hydro Partnership,Hydro - Dam,Hydro - Water,EILDON1,1,,7.5,,7.5,7.5,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1072,,1/2/25 0:00,11/3/25 10:59
Hume Dam VIC,VIC1,Existing Plant,Hume Dam VIC,GSP Energy Pty Ltd,Hydro - Dam,Hydro - Water,HUMEV,1,1,29,1,29,29,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1736,,1/2/25 0:00,6/3/25 12:00
Murray 1,VIC1,Existing Plant,Murray 1,Snowy Hydro Ltd,Hydro - Dam,Hydro - Water,MURRAY,10,,95,,950,950,,In Service,S,,2070,,Existing less Announced Withdrawal,Water,1147,,1/2/25 0:00,14/3/25 14:43
Murray 2,VIC1,Existing Plant,Murray 2,Snowy Hydro Ltd,Hydro - Dam,Hydro - Water,MURRAY,4,,150,,600,600,,In Service,S,,2070,,Existing less Announced Withdrawal,Water,1148,,1/2/25 0:00,14/3/25 14:44
West Kiewa,VIC1,Existing Plant,West Kiewa,AGL Hydro Partnership,Hydro - Dam,Hydro - Water,WKIEWA1,2,,17,,34,34,,In Service,S,,2057,,Existing less Announced Withdrawal,Water,1227,,1/2/25 0:00,11/3/25 11:09
Avonlie Solar Farm,NSW1,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited,Solar PV - Single axis tracking,Solar - Solar,AVLSF1,70,0,3.63,0,254.1,254.1,,In Service,SS,1/11/23 0:00,2058,,Existing less Announced Withdrawal,Solar,1715,,1/2/25 0:00,18/3/25 16:43
Beryl Solar Farm,NSW1,Existing Plant,Beryl Solar Farm,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,Solar PV - Single axis tracking,Solar - Solar,BERYLSF1,60,1.64,1.64,98.4,98.4,98.4,0,In Service,SS,1/5/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1416,,1/2/25 0:00,11/3/25 9:50
Bomen Solar Farm,NSW1,Existing Plant,Bomen Solar Farm,Spark Infrastructure Holdings No. 6 Pty Limited,Solar PV - Single axis tracking,Solar - Solar,BOMENSF1,44,2.75,2.75,121,121,121,0,In Service,SS,1/11/20 0:00,2050,,Existing less Announced Withdrawal,Solar,1554,,1/2/25 0:00,11/3/25 9:45
Broken Hill Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Coleambally Solar Farm,NSW1,Existing Plant,Coleambally Solar Farm,Coleambally Solar Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,COLEASF1,90,0.02,1.67,1.8,150.3,150.3,,In Service,SS,,2043,,Existing less Announced Withdrawal,Solar,1420,,1/2/25 0:00,26/3/25 15:26
Corowa Solar Farm,NSW1,Existing Plant,Corowa Solar Farm,Corowa Operationsco Pty Ltd as trustee for Corowa Operations Trust,Solar PV - Single axis tracking,Solar - Solar,CRWASF1,22,1.64,1.64,36.01,36.01,36.01,,In Service,SS,1/9/21 0:00,2051,,Existing less Announced Withdrawal,Solar,1520,,1/2/25 0:00,13/3/25 9:46
Darlington Point Solar Farm,NSW1,Existing Plant,Darlington Point Solar Farm,Darlington Point Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,DARLSF1,108,,2.55,,274.97,274.97,,In Service,SS,1/4/21 0:00,2055,,Existing less Announced Withdrawal,Solar,1518,,1/2/25 0:00,18/3/25 14:56
Finley Solar Farm,NSW1,Existing Plant,Finley Solar Farm,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust,Solar PV - Single axis tracking,Solar - Solar,FINLYSF1,99,,1.64,,162.36,162.36,,In Service,SS,1/11/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1680,,1/2/25 0:00,7/3/25 13:45
Goonumbla Solar Farm,NSW1,Existing Plant,Goonumbla Solar Farm,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust,Solar PV - Single axis tracking,Solar - Solar,GOONSF1,31,,2.25,,69.75,69.75,,In Service,SS,1/11/21 0:00,2050,,Existing less Announced Withdrawal,Solar,1400,,1/2/25 0:00,27/3/25 15:36
Gullen Range Solar Farm,NSW1,Existing Plant,Gullen Range Solar Farm,New Gullen Range Wind Farm Pty Ltd,Solar PV - Fixed,Solar - Solar,GULLRSF1,4,2.5,2.5,10,10,10,,In Service,SS,,2100,,Existing less Announced Withdrawal,Solar,1432,,1/2/25 0:00,19/3/25 15:47
Gunnedah Solar Farm,NSW1,Existing Plant,Gunnedah Solar Farm,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust,Solar PV - Single axis tracking,Solar - Solar,GNNDHSF1,1,0,110,0,110,110,,In Service,SS,1/10/21 0:00,2056,,Existing less Announced Withdrawal,Solar,1585,,1/2/25 0:00,14/3/25 18:03
Hillston Sun Farm,NSW1,Existing Plant,Hillston Sun Farm,Hillston Sun Farm Operations Pty Ltd ATF Hillston,Solar PV - Single axis tracking,Solar - Solar,HILLSTN1,40,2.75,2.75,110,110,110,,In Service,SS,1/7/22 0:00,2046,,Existing less Announced Withdrawal,Solar,1452,,1/2/25 0:00,14/3/25 8:39
Jemalong Solar,NSW1,Existing Plant,Jemalong Solar,Genex Power,Solar PV - Single axis tracking,Solar - Solar,JEMALNG1,20,,2.75,,55,55,0,In Service,SS,1/12/21 0:00,2050,,Existing less Announced Withdrawal,Solar,1521,,1/2/25 0:00,18/3/25 12:49
Junee Solar Farm,NSW1,Existing Plant,Junee Solar Farm,Junee Operationsco Pty Ltd as trustee for Junee Operations Trust,Solar PV - Single axis tracking,Solar - Solar,JUNEESF1,22,1.64,1.64,36.01,36.01,36.01,,In Service,SS,,2050,,Existing less Announced Withdrawal,Solar,1526,,1/2/25 0:00,13/3/25 9:53
Limondale Solar Farm 1,NSW1,Existing Plant,Limondale Solar Farm 1,Limondale Sun Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,LIMOSF11,100,2.3,2.3,230,230,230,,In Service,SS,1/12/22 0:00,2050,,Existing less Announced Withdrawal,Solar,1453,,6/5/25 0:00,5/3/25 14:08
Limondale Solar Farm 2,NSW1,Existing Plant,Limondale Solar Farm 2,Limondale Sun Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,LIMOSF21,14,2.07,2.07,28.98,28.98,28.98,,In Service,SS,1/4/23 0:00,2050,,Existing less Announced Withdrawal,Solar,1675,,6/5/25 0:00,5/3/25 14:08
Manildra Solar Farm,NSW1,Existing Plant,Manildra Solar Farm,Manildra Prop Pty Ltd as trustee for the Manildra Asset Trust,Solar PV - Single axis tracking,Solar - Solar,MANSLR1,20,2.5,2.5,50,50,50,,In Service,SS,1/12/18 0:00,2048,,Existing less Announced Withdrawal,Solar,1280,,1/2/25 0:00,11/3/25 9:51
Molong Solar Farm,NSW1,Existing Plant,Molong Solar Farm,Molong Operations co Pty Ltd ATF Molong Operations Trust,Solar PV - Single axis tracking,Solar - Solar,MOLNGSF1,22,1.47,1.64,32.34,36.08,36.08,,In Service,SS,1/2/21 0:00,2045,,Existing less Announced Withdrawal,Solar,1641,,1/2/25 0:00,14/3/25 8:44
Moree Solar Farm,NSW1,Existing Plant,Moree Solar Farm,Moree Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,MOREESF1,56,,1,,56,56,,In Service,SS,,2046,,Existing less Announced Withdrawal,Solar,1318,,1/2/25 0:00,24/2/25 14:41
Nevertire Solar Farm,NSW1,Existing Plant,Nevertire Solar Farm,Nevertire Solar Pty Ltd as Trustee for the Nevertire Solar Trust,Solar PV - Single axis tracking,Solar - Solar,NEVERSF1,48,,2.18,,104.64,104.64,,In Service,SS,1/7/20 0:00,2049,,Existing less Announced Withdrawal,Solar,1414,,1/2/25 0:00,14/3/25 16:01
New England Solar Farm,NSW1,Existing Plant,New England Solar Farm,ACEN AUSTRALIA,Solar PV - Single axis tracking,Solar - Solar,NEWENSF1,1,200,200,200,200,200,,In Service,SS,1/5/23 0:00,2073,,Existing less Announced Withdrawal,Solar,1854,,6/5/25 0:00,25/3/25 15:06
Nyngan Solar Plant,NSW1,Existing Plant,Nyngan Solar Plant,PARF Company 6 Pty Limited,Solar PV - Fixed,Solar - Solar,NYNGAN1,77,,1.33,,102.03,102.03,,In Service,SS,,2042,,Existing less Announced Withdrawal,Solar,1323,,1/2/25 0:00,20/3/25 12:24
Parkes Solar Farm,NSW1,Existing Plant,Parkes Solar Farm,Parkes Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,PARSF1,22,0,2.25,0,49.5,49.5,,In Service,SS,,2042,,Existing less Announced Withdrawal,Solar,1402,,1/2/25 0:00,27/3/25 15:51
Sunraysia Solar Farm,NSW1,Existing Plant,Sunraysia Solar Farm,Sunraysia Solar Project Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,SUNRSF1,104,,2.2,,228.8,228.8,,In Service,SS,1/12/21 0:00,2049,,Existing less Announced Withdrawal,Solar,1447,,1/2/25 0:00,11/3/25 10:07
Suntop Solar Farm,NSW1,Existing Plant,Suntop Solar Farm,Suntop SF Pty Ltd As Trustee For The Suntop Asset,Solar PV - Single axis tracking,Solar - Solar,SUNTPSF1,1,0,150,0,150,150,,In Service,SS,1/12/21 0:00,2056,,Existing less Announced Withdrawal,Solar,1586,,1/2/25 0:00,14/3/25 18:03
Wagga North Solar Farm,NSW1,Existing Plant,Wagga North Solar Farm,Wagga Wagga Operationsco Pty Ltd as trustree for Wagga Wagga Operations Trust,Solar PV - Single axis tracking,Solar - Solar,WAGGNSF1,12,1.64,1.64,19.64,19.64,19.64,,In Commissioning,SS,1/7/23 0:00,2050,,Existing less Announced Withdrawal,Solar,1514,,6/5/25 0:00,13/3/25 9:54
Wellington Solar Farm,NSW1,Existing Plant,Wellington Solar Farm,Lightsource Australia SPV 4 Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WELLSF1,132,,1.64,,216.08,216.08,,In Service,SS,1/12/22 0:00,2051,,Existing less Announced Withdrawal,Solar,1515,,1/2/25 0:00,31/3/25 22:32
West Wyalong Solar Farm,NSW1,Existing Plant,West Wyalong Solar Farm,West Wyalong Fund Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WSTWYSF1,29,,3.63,,105.27,105.27,,In Service,SS,1/12/22 0:00,2058,,Existing less Announced Withdrawal,Solar,1904,,1/2/25 0:00,1/4/25 6:10
White Rock Solar Farm,NSW1,Existing Plant,White Rock Solar Farm,White Rock Wind Farm Pty Ltd,Solar PV - Fixed,Solar - Solar,WRSF1,8,2.5,2.5,20,20,20,,In Service,SS,,2043,,Existing less Announced Withdrawal,Solar,1662,,1/2/25 0:00,22/3/24 11:14
Bluegrass Solar Farm,QLD1,Existing Plant,Bluegrass Solar Farm,X-Elio Australia Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,BLUEGSF1,1,148,148,148,148,148,,In Service,SS,1/6/23 0:00,2057,,Existing less Announced Withdrawal,Solar,1903,,6/5/25 0:00,19/3/25 13:43
Childers Solar Farm,QLD1,Existing Plant,Childers Solar Farm,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,Solar PV - Single axis tracking,Solar - Solar,CHILDSF1,37,,1.74,,64.38,64.38,,In Service,SS,1/6/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1441,,1/2/25 0:00,14/3/25 16:03
Clare Solar Farm,QLD1,Existing Plant,Clare Solar Farm,Clare Asset Co Pty Ltd ATF Clare Asset Trust,Solar PV - Single axis tracking,Solar - Solar,CLARESF1,69,1.45,1.6,99.98,110.4,110.4,,In Service,SS,,2047,,Existing less Announced Withdrawal,Solar,1383,,1/2/25 0:00,24/2/25 14:44
Clermont Solar Farm,QLD1,Existing Plant,Clermont Solar Farm,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,Solar PV - Single axis tracking,Solar - Solar,CLERMSF1,37,2.05,2.5,75.85,92.5,92.5,,In Service,SS,1/3/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1562,,1/2/25 0:00,9/3/25 13:49
Collinsville Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Columboola Solar Farm,QLD1,Existing Plant,Columboola Solar Farm,Luminous Energy,Solar PV - Single axis tracking,Solar - Solar,COLUMSF1,79,2.75,2.75,217.25,217.25,217.25,,In Service,SS,1/10/23 0:00,2046,,Existing less Announced Withdrawal,Solar,1459,Q00121,1/2/25 0:00,11/3/25 10:04
Darling Downs Solar Farm,QLD1,Existing Plant,Darling Downs Solar Farm,Darling Downs Solar Farm Pty Ltd,Solar PV - Fixed,Solar - Solar,DDSF1,44,2.47,2.75,108.5,121,121,,In Service,SS,,2036,,Existing less Announced Withdrawal,Solar,1545,,1/2/25 0:00,11/3/25 11:35
Daydream Solar Farm,QLD1,Existing Plant,Daydream Solar Farm,The Daydream Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,DAYDSF1,61,,2.75,,167.75,167.75,,In Service,SS,,2048,,Existing less Announced Withdrawal,Solar,1516,,1/2/25 0:00,18/3/25 14:07
Edenvale Solar Park,QLD1,Existing Plant,Edenvale Solar Park,Edenvale Solar Park Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,EDENVSF1,1,0,180,0,180,180,,In Service,SS,1/3/24 0:00,2053,,Existing less Announced Withdrawal,Solar,1902,,1/2/25 0:00,24/3/25 13:45
Emerald Solar Farm,QLD1,Existing Plant,Emerald Solar Park,Lighthouse Infrastructure Management Limited,Solar PV - Single axis tracking,Solar - Solar,EMERASF1,32,2.25,2.25,72,72,72,,In Service,SS,1/2/19 0:00,2048,,Existing less Announced Withdrawal,Solar,1443,,6/5/25 0:00,12/3/24 9:45
Gangarri Solar Farm,QLD1,Existing Plant,Gangarri Solar Farm,Shell New Energies Australia Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,GANGARR1,54,0,3,0,162,162,,In Commissioning,SS,,2051,,Existing less Announced Withdrawal,Solar,1538,,6/5/25 0:00,12/3/25 15:08
Hamilton Solar Farm,QLD1,Existing Plant,Hamilton Solar Farm,Hamilton Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,HAMISF1,23,,2.5,,57.5,57.5,,In Service,SS,,2048,,Existing less Announced Withdrawal,Solar,1408,,1/2/25 0:00,18/3/25 14:19
Haughton Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Hayman Solar Farm,QLD1,Existing Plant,Hayman Solar Farm,The Hayman Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,HAYMSF1,21,0,2.75,0,57.75,57.75,,In Service,SS,,2048,,Existing less Announced Withdrawal,Solar,1517,,1/2/25 0:00,18/3/25 14:34
Hughenden Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Energy Park Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Kidston Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Lilyvale Solar Farm,QLD1,Existing Plant,Lilyvale Solar Farm,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,Solar PV - Single axis tracking,Solar - Solar,LILYSF1,74,1.45,1.6,107.23,118.4,118.4,,In Service,SS,1/1/22 0:00,2048,,Existing less Announced Withdrawal,Solar,1384,,1/2/25 0:00,27/3/25 15:41
Longreach Solar Farm,QLD1,Existing Plant,Longreach Solar Farm,Longreach Asset Company,Solar PV - Fixed,Solar - Solar,LRSF1,7,2,2.14,14,15,15,,In Service,NS,,2043,,Existing less Announced Withdrawal,Solar,1667,,1/10/24 0:00,18/3/24 11:04
Maryrorough Solar Farm,QLD1,Existing Plant,Maryrorough Solar Farm,Maryrorough Solar Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,MARYRSF1,1,34.5,34.5,34.5,34.5,34.5,,In Service,SS,1/3/21 0:00,2048,,Existing less Announced Withdrawal,Solar,1689,,6/5/25 0:00,19/3/25 10:51
Middlemount Solar Farm,QLD1,Existing Plant,Middlemount Solar Farm,Capricorn SF No1 Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,MIDDLSF1,1,26,26,26,26,26,,In Service,SS,1/7/21 0:00,2050,,Existing less Announced Withdrawal,Solar,1537,,1/2/25 0:00,19/3/25 15:13
Moura Solar Farm,QLD1,Existing Plant,Moura Solar Farm,Moura Solar Farm SPV Pty Ltd as the Trustee for Moura Solar Farm Unit Trust,Solar PV - Single axis tracking,Solar - Solar,MOUSF1,36,,2.75,,99,99,,In Service,SS,1/4/23 0:00,2057,,Existing less Announced Withdrawal,Solar,1880,,1/2/25 0:00,7/3/25 13:46
Oakey 1 Solar Farm,QLD1,Existing Plant,Oakey 2 Solar Farm,RE Oakey Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,OAKEY2SF,26,0,2.14,0,55.64,55.64,,In Service,SS,1/4/22 0:00,2049,,Existing less Announced Withdrawal,Solar,1591,,1/2/25 0:00,20/3/25 13:34
Oakey 2 Solar Farm,QLD1,Existing Plant,Oakey 2 Solar Farm,RE Oakey Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,OAKEY2SF,26,0,2.14,0,55.64,55.64,,In Service,SS,1/4/22 0:00,2049,,Existing less Announced Withdrawal,Solar,1591,,1/2/25 0:00,20/3/25 13:34
Ross River Solar Farm,QLD1,Existing Plant,Ross River Solar Farm,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust,Solar PV - Single axis tracking,Solar - Solar,RRSF1,64,2,2,128,128,128,,In Service,SS,,2043,,Existing less Announced Withdrawal,Solar,1401,,1/2/25 0:00,24/3/25 12:24
Rugby Run Solar Farm,QLD1,Existing Plant,Rugby Run Solar Farm,Adani Rugby Run Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,RUGBYR1,1,65,65,65,65,65,,In Service,SS,1/10/20 0:00,2049,,Existing less Announced Withdrawal,Solar,1493,,1/2/25 0:00,10/3/25 14:49
Sun Metals Corporation Solar Farm,QLD1,Existing Plant,Sun Metals Corporation Solar Farm,Sun Metals Corporation Pty Ltd,Solar PV - Fixed,Solar - Solar,SMCSF1,52,,2.75,,143,143,,In Service,SS,,2042,,Existing less Announced Withdrawal,Solar,1437,,1/2/25 0:00,24/2/25 14:35
Susan River Solar Farm,QLD1,Existing Plant,Susan River Solar Farm,Susan River Solar Pty Ltd as trustee for the Susan River Solar Trust,Solar PV - Single axis tracking,Solar - Solar,SRSF1,49,1.74,1.74,85.26,85.26,85.26,,In Service,SS,1/12/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1444,,1/2/25 0:00,14/3/25 16:02
Warwick Solar Farm,QLD1,Existing Plant,Warwick Solar Farm,The University of Queensland,Solar PV - Single axis tracking,Solar - Solar,WARWSF1,8,4.01,4.01,32.1,32.1,32.1,,In Service,SS,1/4/23 0:00,2046,,Existing less Announced Withdrawal,Solar,1530,,1/2/25 0:00,27/3/25 14:52
Western Downs Green Power Hub,QLD1,Existing Plant,Western Downs Green Power Hub P/L,Western Downs Green Power Hub Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WDGPH1,167,0.02,2.4,3.34,399.97,399.97,,In Service,SS,1/1/23 0:00,2046,,Existing less Announced Withdrawal,Solar,2011,,1/2/25 0:00,6/3/25 16:04
Whitsunday Solar Farm,QLD1,Existing Plant,Whitsunday Solar Farm,Whitsunday Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WHITSF1,23,,2.5,,57.5,57.5,,In Service,SS,,2048,,Existing less Announced Withdrawal,Solar,1407,,1/2/25 0:00,18/3/25 14:35
Yarranlea Solar Farm,QLD1,Existing Plant,Yarranlea Solar Farm,Yarranlea Solar Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,YARANSF1,44,0,2.75,0,121,121,,In Service,SS,1/5/20 0:00,2044,,Existing less Announced Withdrawal,Solar,1599,,6/5/25 0:00,25/2/25 11:54
Adelaide Desalination Plant Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivar Waste Water Treatment Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Bungala One Solar Farm,SA1,Existing Plant,Bungala One Solar Farm,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,Solar PV - Single axis tracking,Solar - Solar,BNGSF1,54,2.04,2.5,110.16,135,135,0,In Service,SS,1/12/18 0:00,2044,,Existing less Announced Withdrawal,Solar,1589,,1/2/25 0:00,19/3/25 11:23
Bungala Two Solar Farm,SA1,Existing Plant,Bungala Two Solar Farm,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,Solar PV - Single axis tracking,Solar - Solar,BNGSF2,54,2.04,2.5,110.16,135,135,,In Service,SS,1/9/21 0:00,2044,,Existing less Announced Withdrawal,Solar,1587,,1/2/25 0:00,3/3/25 14:25
Happy Valley Reservoir,SA1,Existing Plant,Happy Valley Reservoir,South Australian Water Corporation,Storage - Battery,Other - Other,HVWWBA1,1,,5.52,,5.52,5.52,8.82,In Service,S,1/12/22 0:00,2041,,Existing less Announced Withdrawal,Battery Storage,1846,,1/2/25 0:00,5/3/25 11:12
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),SA1,Existing Plant,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MAPS2PV1,6,,2.75,,16.5,16.5,,In Service,SS,1/5/22 0:00,2041,,Existing less Announced Withdrawal,Solar,1847,S00010,1/2/25 0:00,5/3/25 12:49
Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),SA1,Existing Plant,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MAPS3PV1,6,,2.75,,16.5,16.5,,In Service,SS,1/1/23 0:00,2041,,Existing less Announced Withdrawal,Solar,2010,S00011,1/2/25 0:00,5/3/25 12:50
