GenName,Region,Asset Type,Site Name,Owner,Technology Type,Fuel Type,DUID,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId,AEMO KCI Id,Survey Last Requested,Survey Version DateTime
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,SA1,Existing Plant,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MWPS1PV1,2,,2.75,,5.5,5.5,,In Service,SS,1/8/22 0:00,2031,,Existing less Announced Withdrawal,Solar,1849,,1/2/25 0:00,5/3/25 11:58
Morgan To Whyalla Pipeline No 2 PS,SA1,Existing Plant,Morgan To Whyalla Pipeline No 2 PS,South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MWPS2PV1,2,,2.75,,5.5,5.5,,In Service,SS,1/6/22 0:00,2041,,Existing less Announced Withdrawal,Solar,1850,,1/2/25 0:00,5/3/25 12:06
Morgan To Whyalla Pipeline No 3 PS,SA1,Existing Plant,Morgan To Whyalla Pipeline No 3 PS,South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MWPS3PV1,3,,2.5,,7.5,7.5,,In Service,SS,1/6/22 0:00,2045,,Existing less Announced Withdrawal,Solar,1851,,1/2/25 0:00,5/3/25 12:42
Morgan To Whyalla Pipeline No 4 PS,SA1,Existing Plant,Morgan To Whyalla Pipeline No 4 PS,South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MWPS4PV1,2,,2.75,,5.5,5.5,,In Service,SS,1/8/22 0:00,2041,,Existing less Announced Withdrawal,Solar,1852,,1/2/25 0:00,5/3/25 12:43
Murray Bridge - Onkaparinga Pipeline Pump 2,SA1,Existing Plant,Murray Bridge - Onkaparinga Pipeline Pump 2,South Australian Water Corporation,Solar PV - Single axis tracking,Solar - Solar,MBPS2PV1,5,,2.75,,13.75,13.75,,In Service,SS,1/8/22 0:00,2041,,Existing less Announced Withdrawal,Solar,1853,,1/2/25 0:00,5/3/25 12:48
Port Augusta Renewable Energy Park - Solar,SA1,Existing Plant,Port Augusta Renewable Energy Park - Solar,PAREP 1 Pty Ltd,Solar PV - Fixed,Solar - Solar,PAREPS1,36,,2.75,,99,99,,In Service,SS,1/1/23 0:00,2047,,Existing less Announced Withdrawal,Solar,1392,S00025,1/2/25 0:00,19/3/25 9:03
Tailem Bend Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Tailem Bend Solar Farm - stage 2,,,,,,,,,,,,,,,,,,,,,,,,,
Bannerton Solar Park,VIC1,Existing Plant,Bannerton Solar Park,Foresight Solar Australia Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,BANN1,40,,2.5,,100,100,,In Service,SS,1/6/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1492,,1/2/25 0:00,10/3/25 8:49
Cohuna Solar Farm,VIC1,Existing Plant,Cohuna Solar Farm,Cohuna Solar Farm Pty Ltd as trustee for the Cohuna Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,COHUNSF1,19,1.43,1.64,27.17,31.16,31.16,,In Commissioning,SS,,2045,,Existing less Announced Withdrawal,Solar,1691,,6/5/25 0:00,12/3/25 8:07
Gannawarra Solar Farm,VIC1,Existing Plant,Gannawarra Solar Farm,Gannawarra Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,GANNSF1,22,,2.5,,55,55,,In Service,SS,,2048,,Existing less Announced Withdrawal,Solar,1396,,1/2/25 0:00,18/3/25 10:27
Glenrowan West Solar Farm,VIC1,Existing Plant,Glenrowan West Solar Farm,Glenrowan Sun Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,GLRWNSF1,48,1.88,2.75,90,132,132,,In Service,SS,1/4/21 0:00,2051,,Existing less Announced Withdrawal,Solar,1541,,1/2/25 0:00,9/3/25 13:51
Karadoc Solar Farm,VIC1,Existing Plant,Karadoc Solar Farm,Iraak Sun Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,KARSF1,38,2.37,2.75,89.98,104.5,104.5,,In Service,SS,1/12/18 0:00,2048,,Existing less Announced Withdrawal,Solar,1424,,1/2/25 0:00,14/3/25 15:59
Kiamal Solar Farm stage 1,VIC1,Existing Plant,Kiamal Solar Farm - Stage 1,KSF Project Nominees Pty Ltd ATF KSF Project Trust,Solar PV - Single axis tracking,Solar - Solar,KIAMSF1,150,1.33,1.33,199.95,199.95,199.95,0,In Service,SS,1/1/22 0:00,2049,,Existing less Announced Withdrawal,Solar,1602,,6/5/25 0:00,12/3/24 9:03
Numurkah Solar Farm,VIC1,Existing Plant,Numurkah Solar Farm,Numurkah Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,NUMURSF1,56,0.02,1.81,0.95,101.08,101.08,,In Service,SS,1/8/19 0:00,2044,,Existing less Announced Withdrawal,Solar,1461,,1/2/25 0:00,26/3/25 15:27
Wemen Solar Farm,VIC1,Existing Plant,Wemen Solar Farm,Wemen Asset Co Pty Ltd as Trustee to Wemen Solar Unit Trust,Solar PV - Single axis tracking,Solar - Solar,WEMENSF1,39,2.05,2.5,79.95,97.5,97.5,,In Service,SS,1/3/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1563,,1/2/25 0:00,9/3/25 13:53
Winton Solar Farm,VIC1,Existing Plant,Winton Solar Farm,Winton Asset Co. Pty Ltd as Trustee of the Winton Asset Trust,Solar PV - Single axis tracking,Solar - Solar,WINTSF1,1,,85,,85,85,,In Service,SS,,2051,,Existing less Announced Withdrawal,Solar,1674,,1/2/25 0:00,24/2/25 14:40
Wyalong Solar Farm,NSW1,Existing Plant,Wyalong Solar Farm,Wyalong Solar Farm Pty Ltd as the trustee for the Wyalong Solar Farm Unit Trust,Solar PV - Single axis tracking,Solar - Solar,WYASF1,38,,1.64,,62.32,62.32,,In Service,SS,1/6/23 0:00,2053,,Existing less Announced Withdrawal,Solar,1865,,1/2/25 0:00,7/3/25 13:44
Yatpool Solar Farm,VIC1,Existing Plant,Yatpool Solar Farm,Yatpool Sun Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,YATSF1,16,,2.75,,44,44,,In Service,SS,,2050,,Existing less Announced Withdrawal,Solar,1423,,1/2/25 0:00,6/3/25 12:48
Bango 973 Wind Farm,NSW1,Existing Plant,Bango 973 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust,Wind Turbine - Onshore,Wind - Wind,BANGOWF1,30,5.3,5.3,159,159,159,,In Service,SS,1/9/22 0:00,2045,,Existing less Announced Withdrawal,Wind,1282,,1/2/25 0:00,7/3/25 13:34
Bango 999 Wind Farm,NSW1,Existing Plant,Bango 999 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust,Wind Turbine - Onshore,Wind - Wind,BANGOWF2,16,0,5.3,0,84.8,84.8,,In Service,SS,1/9/22 0:00,2045,,Existing less Announced Withdrawal,Wind,1843,N00019,1/2/25 0:00,14/3/25 5:58
Boco Rock Wind Farm,NSW1,Project,Boco Rock Wind Farm,South Pacific Power Pty Ltd,Wind Turbine - Onshore,Wind - Wind,BOCOROC2,15,0,5.3,0,79.5,79.5,,Publicly Announced,SS,,2046,,Proposed,Wind,1022,,1/2/25 0:00,14/3/25 5:59
Bodangora Wind Farm,NSW1,Existing Plant,Bodangora Wind Farm,Bodangora Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,BODWF1,33,3.43,3.43,113.19,113.19,113.19,,In Service,SS,1/2/19 0:00,2049,,Existing less Announced Withdrawal,Wind,1259,,1/2/25 0:00,21/5/25 9:10
Capital Wind Farm,NSW1,Existing Plant,Capital Wind Farm,Renewable Power Ventures Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CAPTL_WF,67,2.1,2.1,140.7,140.7,140.7,,In Service,NS,,2040,,Existing less Announced Withdrawal,Wind,1038,,1/10/24 0:00,20/5/25 16:16
Collector Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Crookwell 2 Wind Farm,NSW1,Existing Plant,Crookwell 2 Wind Farm,Crookwell Development Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CROOKWF2,28,3.43,3.43,96.04,96.04,96.04,,In Service,SS,1/9/18 0:00,2043,,Existing less Announced Withdrawal,Wind,1061,,1/2/25 0:00,13/3/25 12:38
Crudine Ridge Wind Farm,NSW1,Existing Plant,Crudine Ridge Wind Farm,CRWF Nominees Pty Ltd as trustee of the CRWF Trust,Wind Turbine - Onshore,Wind - Wind,CRURWF1,37,3.6,3.83,133.2,141.71,141.71,,In Service,SS,1/6/22 0:00,2041,,Existing less Announced Withdrawal,Wind,1281,,1/2/25 0:00,7/3/25 13:14
Cullerin Range Wind Farm,NSW1,Existing Plant,Cullerin Range Wind Farm,Cullerin Range Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CULLRGWF,15,2,2,30,30,30,,In Service,NS,,2038,,Existing less Announced Withdrawal,Wind,1064,,1/10/24 0:00,9/10/24 10:38
Gullen Range Wind Farm,NSW1,Existing Plant,Gullen Range Wind Farm,New Gullen Range Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,GULLRWF1,17,1.5,1.5,25.5,25.5,25.5,,In Service,SS,,2100,,Existing less Announced Withdrawal,Wind,1422,,1/2/25 0:00,19/3/25 15:46
Gullen Range Wind Farm 2,NSW1,Existing Plant,Gullen Range Wind Farm 2,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Wind Turbine - Onshore,Wind - Wind,GULLRWF2,31,3.57,3.57,110.67,110.67,110.67,,In Service,SS,1/12/23 0:00,2120,,Existing less Announced Withdrawal,Wind,1588,,1/2/25 0:00,19/3/25 15:48
Gunning Wind Farm,NSW1,Existing Plant,Gunning Wind Farm,Gunning Wind Energy Developments,Wind Turbine - Onshore,Wind - Wind,GUNNING1,11,,1.5,,16.5,16.5,,In Service,SS,,2036,,Existing less Announced Withdrawal,Wind,1082,,6/5/25 0:00,23/2/24 9:25
Sapphire Wind Farm,NSW1,Existing Plant,Sapphire Wind Farm,SWF1 Operations Holdings Pty Ltd as trustee for SWF1 Hold Trust,Wind Turbine - Onshore,Wind - Wind,SAPHWF1,75,0,3.6,0,270,270,,In Service,SS,,2043,,Existing less Announced Withdrawal,Wind,1270,,1/2/25 0:00,5/3/25 13:41
Silverton Wind Farm,NSW1,Existing Plant,Silverton Wind Farm,PARF Company 8 Pty Ltd as trustee for the Silverton Project Trust,Wind Turbine - Onshore,Wind - Wind,STWF1,58,,3.43,,198.94,198.94,,In Service,SS,1/12/20 0:00,2043,,Existing less Announced Withdrawal,Wind,1178,,1/2/25 0:00,20/3/25 12:26
Taralga Wind Farm,NSW1,Existing Plant,Taralga Wind Farm,Energy Pacific Vic Pty Ltd,Wind Turbine - Onshore,Wind - Wind,TARALGA1,9,,3,,27,27,,In Service,SS,,2040,,Existing less Announced Withdrawal,Wind,1196,,6/5/25 0:00,12/6/25 16:29
White Rock Wind Farm - Stage 1,NSW1,Existing Plant,White Rock Wind Farm - Stage 1,CECEP Wind Power Australia Pty Ltd,Wind Turbine - Onshore,Wind - Wind,WRWF1,70,,2.5,,175,175,,In Service,SS,,2038,,Existing less Announced Withdrawal,Wind,1277,,1/2/25 0:00,13/5/25 11:42
Woodlawn Wind Farm,NSW1,Existing Plant,Woodlawn Wind Farm,Woodlawn Wind Pty Ltd,Wind Turbine - Onshore,Wind - Wind,WOODLWN1,23,2.1,2.1,48.3,48.3,48.3,,In Service,SS,,2041,,Existing less Announced Withdrawal,Wind,1240,,1/2/25 0:00,21/5/25 9:15
Coopers Gap Wind Farm,QLD1,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited,Wind Turbine - Onshore,Wind - Wind,COOPGWF1,32,,3.83,,122.56,122.56,,In Service,SS,1/4/22 0:00,2044,,Existing less Announced Withdrawal,Wind,1057,,1/2/25 0:00,20/3/25 12:23
Kaban Green Power Hub - Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Energy Park Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Emerald Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Canunda Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Cathedral Rocks Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Clements Gap Wind Farm,SA1,Existing Plant,Clements Gap Wind Farm,Pacific Hydro Clements Gap Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CLEMGPWF,27,,2.1,,56.7,56.7,,In Service,SS,,2039,,Existing less Announced Withdrawal,Wind,1047,,6/5/25 0:00,12/6/25 16:41
Hallett 4 North Brown Hill Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Hallett 5 The Bluff Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Hallett Stage 1 Brown Hill Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Hallett Stage 2 Hallett Hill Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsdale Wind Farm Stage 1,SA1,Existing Plant,Hornsdale Wind Farm Stage 1,HWF 1 Pty Ltd,Wind Turbine - Onshore,Wind - Wind,HDWF1,32,3.2,3.2,102.4,102.4,102.4,,In Service,SS,,2056,,Existing less Announced Withdrawal,Wind,1300,,1/2/25 0:00,23/5/25 10:51
Hornsdale Wind Farm Stage 2,SA1,Existing Plant,Hornsdale Wind Farm Stage 2,HWF 2 Pty Ltd,Wind Turbine - Onshore,Wind - Wind,HDWF2,32,3.2,3.2,102.4,102.4,102.4,,In Service,SS,,2057,,Existing less Announced Withdrawal,Wind,1376,,1/2/25 0:00,13/3/25 15:53
Hornsdale Wind Farm Stage 3,SA1,Existing Plant,Hornsdale Wind Farm Stage 3,HWF 3 Pty Ltd,Wind Turbine - Onshore,Wind - Wind,HDWF3,35,3.2,3.2,112,112,112,,In Service,SS,,2057,,Existing less Announced Withdrawal,Wind,1381,,1/2/25 0:00,13/3/25 15:55
Lake Bonney 1 Wind Farm,SA1,Existing Plant,Lake Bonney 1 Wind Farm,Lake Bonney Wind Power Pty Ltd,Wind Turbine - Onshore,Wind - Wind,LKBONNY1,46,1.75,1.75,80.5,80.5,80.5,,In Service,SS,,2035,,Existing less Announced Withdrawal,Wind,1108,,1/2/25 0:00,21/5/25 9:11
Lake Bonney 2 Wind Farm,SA1,Existing Plant,Lake Bonney 2 Wind Farm,Lake Bonney Wind Power Pty Ltd,Wind Turbine - Onshore,Wind - Wind,LKBONNY2,53,3,3,159,159,159,,In Service,SS,,2038,,Existing less Announced Withdrawal,Wind,1109,,1/2/25 0:00,21/5/25 9:12
Lake Bonney 3 Wind Farm,SA1,Existing Plant,Lake Bonney 3 Wind Farm,Lake Bonney Wind Power Pty Ltd,Wind Turbine - Onshore,Wind - Wind,LKBONNY3,13,3,3,39,39,39,,In Service,SS,,2040,,Existing less Announced Withdrawal,Wind,1110,,1/2/25 0:00,21/5/25 9:12
Lincoln Gap Wind Farm - stage 1,SA1,Existing Plant,Lincoln Gap Wind Farm - stage 1,Lincoln Gap Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,LGAPWF1,35,3.6,3.6,126,126,126,0,In Service,SS,1/8/20 0:00,2045,,Existing less Announced Withdrawal,Wind,1119,S00007,1/2/25 0:00,13/3/25 10:09
Lincoln Gap Wind Farm - stage 2,SA1,Existing Plant,Lincoln Gap Wind Farm - Stage 2,Lincoln Gap Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,LGAPWF2,24,3.6,3.6,86.4,86.4,86.4,,In Service,SS,1/2/22 0:00,2045,,Existing less Announced Withdrawal,Wind,1574,S00007,1/2/25 0:00,13/3/25 10:13
Mount Millar Wind Farm,SA1,Existing Plant,Mt Millar Wind Farm,MT MILLAR WIND FARM PTY LTD,Wind Turbine - Onshore,Wind - Wind,MTMILLAR,35,,2.07,,72.28,72.28,,In Service,NS,,2035,,Existing less Announced Withdrawal,Wind,1143,,1/10/24 0:00,6/3/25 11:57
Port Augusta Renewable Energy Park - Wind,SA1,Existing Plant,Port Augusta Renewable Energy Park - Wind,PAREP 1 Pty Ltd,Wind Turbine - Onshore,Wind - Wind,PAREPW1,50,,4.02,,201,201,,In Service,SS,,2052,,Existing less Announced Withdrawal,Wind,1375,,1/2/25 0:00,19/3/25 9:04
Snowtown S2 Wind Farm,SA1,Existing Plant,Snowtown S2 Wind Farm,Snowtown Wind Farm Stage 2 Pty Ltd,Wind Turbine - Onshore,Wind - Wind,SNOWNTH1,48,,3,,144,144,,In Service,SS,,2039,,Existing less Announced Withdrawal,Wind,1181,,1/2/25 0:00,19/3/25 10:53
Snowtown Wind Farm,SA1,Existing Plant,Snowtown Wind Farm,Snowtown Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,SNOWTWN1,47,,2.1,,98.7,98.7,,In Service,SS,,2033,,Existing less Announced Withdrawal,Wind,1180,,1/2/25 0:00,25/3/25 12:13
Starfish Hill Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo Wind Farm,SA1,Existing Plant,Waterloo Wind Farm,Waterloo Windfarm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,WATERLWF,6,,3.3,,19.8,19.8,,In Service,SS,,2051,,Existing less Announced Withdrawal,Wind,1223,,1/2/25 0:00,6/3/25 13:15
Wattle Point Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Willogoleche Wind Farm,SA1,Existing Plant,Willogoleche Wind Farm,Willogoleche Power Pty Ltd,Wind Turbine - Onshore,Wind - Wind,WGWF1,7,,3.43,,24.01,24.01,,In Service,SS,1/10/19 0:00,2043,,Existing less Announced Withdrawal,Wind,1231,,1/2/25 0:00,5/3/25 11:01
Cattle Hill Wind Farm,TAS1,Existing Plant,Cattle Hill Wind Farm,Wild Cattle Hill Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CTHLWF1,45,,3.2,,144,144,,In Service,SS,1/2/21 0:00,2044,,Existing less Announced Withdrawal,Wind,1260,,6/5/25 0:00,21/5/25 6:45
Granville Harbour Wind Farm,TAS1,Existing Plant,Granville Harbour Wind Farm,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust,Wind Turbine - Onshore,Wind - Wind,GRANWF1,31,3.6,3.6,111.6,111.6,111.6,,In Service,SS,1/12/20 0:00,2055,,Existing less Announced Withdrawal,Wind,1322,,6/5/25 0:00,2/6/25 10:11
Musselroe Wind Farm,TAS1,Existing Plant,Musselroe Wind Farm,Musselroe Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MUSSELR1,56,,3,,168,168,,In Service,SS,,2050,,Existing less Announced Withdrawal,Wind,1149,,1/2/25 0:00,27/2/25 13:19
Woolnorth Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Ararat Wind Farm,VIC1,Existing Plant,Ararat Wind Farm,Ararat Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,ARWF1,75,,3.2,,240,240,,In Service,SS,,2047,,Existing less Announced Withdrawal,Wind,1462,,1/2/25 0:00,12/3/25 15:43
Bald Hills Wind Farm,VIC1,Existing Plant,Bald Hills Wind Farm,Bald Hills Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,BALDHWF1,52,,2.05,,106.6,106.6,,In Service,SS,,2040,,Existing less Announced Withdrawal,Wind,1006,,1/2/25 0:00,10/3/25 12:27
Berrybank Wind Farm,VIC1,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd,Wind Turbine - Onshore,Wind - Wind,BRYB1WF1,43,4.2,4.2,180.6,180.6,180.6,,In Service,SS,1/4/21 0:00,2050,,Existing less Announced Withdrawal,Wind,1018,,1/2/25 0:00,13/3/25 9:45
Bulgana Green Power Hub - Wind Farm,VIC1,Existing Plant,Bulgana Green Power Hub - Wind Farm,Bulgana Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,BULGANA1,56,,3.65,,204.4,204.4,,In Service,SS,1/11/21 0:00,2049,,Existing less Announced Withdrawal,Wind,1289,,1/2/25 0:00,23/5/25 15:21
Challicum Hills Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Tree Wind Farm,VIC1,Existing Plant,Cherry Tree Wind Farm,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,Wind Turbine - Onshore,Wind - Wind,CHYTWF1,16,3.6,3.6,57.6,57.6,57.6,,In Service,SS,1/7/20 0:00,2050,,Existing less Announced Withdrawal,Wind,1263,,1/2/25 0:00,14/3/25 16:05
Crowlands Wind Farm,VIC1,Existing Plant,Crowlands Wind Farm,Pacific Hydro Crowlands Pty Ltd,Wind Turbine - Onshore,Wind - Wind,CROWLWF1,39,,2.05,,79.95,79.95,,In Service,SS,,2044,,Existing less Announced Withdrawal,Wind,1566,,6/5/25 0:00,27/9/24 16:44
Dulacca Wind Farm,QLD1,Existing Plant,Dulacca Wind Farm,Dulacca Energy Project Co Pty Ltd,Wind Turbine - Onshore,Wind - Wind,DULAWF1,43,4.02,4.02,172.99,172.99,172.99,,In Service,SS,1/10/23 0:00,2053,,Existing less Announced Withdrawal,Wind,1706,,1/2/25 0:00,12/3/25 8:40
Dundonnell Wind Farm,VIC1,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind Turbine - Onshore,Wind - Wind,DUNDWF1,40,4.2,4.2,168,168,168,,In Service,SS,1/6/22 0:00,2045,,Existing less Announced Withdrawal,Wind,1303,,1/2/25 0:00,20/3/25 12:24
Elaine Wind Farm,VIC1,Existing Plant,Elaine Wind Farm,Northleaf /InfraRed/Macquarie Capital,Wind Turbine - Onshore,Wind - Wind,ELAINWF1,22,3.8,3.8,83.6,83.6,83.6,,In Service,SS,1/12/20 0:00,2049,,Existing less Announced Withdrawal,Wind,1113,,1/2/25 0:00,11/3/25 9:53
Kiata Wind Farm,VIC1,Existing Plant,Kiata Wind Farm,Kiata ProjectCo Pty Ltd atf Kiata Project Trust,Wind Turbine - Onshore,Wind - Wind,KiataWF1,9,3.45,3.45,31.05,31.05,31.05,,In Service,SS,,2042,,Existing less Announced Withdrawal,Wind,1382,,1/2/25 0:00,14/3/25 15:57
Macarthur Wind Farm,VIC1,Existing Plant,Macarthur Wind Farm,Macarthur Wind Farm Pty Ltd and Meridian Wind Macarthur Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MACARTH1,140,,3,,420,420,,In Service,SS,,2038,,Existing less Announced Withdrawal,Wind,1128,,1/2/25 0:00,11/3/25 11:01
Moorabool Wind Farm,VIC1,Existing Plant,Moorabool Wind Farm,Moorabool Wind Farm Interface Company Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MOORAWF1,104,3,3,312,312,312,,In Service,SS,1/7/22 0:00,2044,,Existing less Announced Withdrawal,Wind,1425,,6/5/25 0:00,28/2/24 16:14
Mortlake South Wind Farm,VIC1,Existing Plant,Mortlake South Wind Farm,Mortlake South Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MRTLSWF1,35,4.5,4.5,157.5,157.5,157.5,,In Service,SS,1/5/23 0:00,2047,,Existing less Announced Withdrawal,Wind,1138,,1/2/25 0:00,5/3/25 10:27
Mortons Lane Wind Farm,VIC1,Existing Plant,Mortons Lane Wind Farm,Mortons Lane Windfarm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MLWF1,13,1.5,1.5,19.5,19.5,19.5,,In Service,NS,1/7/21 0:00,,,Existing less Announced Withdrawal,Wind,1331,,1/10/24 0:00,18/9/24 13:30
Mt Gellibrand Wind Farm,VIC1,Existing Plant,Mt Gellibrand Wind Farm,ACCIONA Energy,Wind Turbine - Onshore,Wind - Wind,MTGELWF1,44,,3.15,,138.6,138.6,,In Service,SS,1/7/18 0:00,2043,,Existing less Announced Withdrawal,Wind,1141,,6/5/25 0:00,23/2/24 10:08
Mt Mercer Wind Farm,VIC1,Existing Plant,Mt Mercer Wind Farm,Mt Mercer Windfarm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MERCER01,64,,2.05,,131.2,131.2,,In Service,SS,,2043,,Existing less Announced Withdrawal,Wind,1142,,1/2/25 0:00,27/3/25 11:48
Murra Warra Wind Farm - stage 1,VIC1,Existing Plant,Murra Warra Wind Farm - stage 1,Murra Warra Project Co Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MUWAWF1,61,3.7,3.7,225.7,225.7,225.7,,In Service,SS,1/9/21 0:00,2049,,Existing less Announced Withdrawal,Wind,1262,,1/2/25 0:00,18/3/25 14:59
Murra Warra Wind Farm - stage 2,VIC1,Existing Plant,Murra Warra Wind Farm - stage 2,Murra Warra II Project Co Pty Ltd as Trustee for the Murra Warra II Project Trust,Wind Turbine - Onshore,Wind - Wind,MUWAWF2,38,,5.5,,209,209,,In Service,SS,1/10/22 0:00,2052,,Existing less Announced Withdrawal,Wind,1506,,1/2/25 0:00,11/3/25 9:43
Oaklands Hill Wind Farm,VIC1,Existing Plant,Oaklands Hill Wind Farm,Oaklands Hill Wind farm pty ltd,Wind Turbine - Onshore,Wind - Wind,OAKLAND1,32,,2.1,,67.2,67.2,,In Service,SS,,2037,,Existing less Announced Withdrawal,Wind,1152,,1/2/25 0:00,11/3/25 11:02
Portland Wind Farm,VIC1,Existing Plant,Portland Wind Farm,Pacific Hydro Portland Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,PORTWF,74,,2.05,,151.7,151.7,,In Service,NS,,2040,,Existing less Announced Withdrawal,Wind,1165,,1/10/24 0:00,12/6/25 16:39
Salt Creek Wind Farm,VIC1,Existing Plant,Salt Creek Wind Farm,Salt Creek Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,SALTCRK1,15,3.6,3.6,54,54,54,,In Service,SS,,2043,,Existing less Announced Withdrawal,Wind,1244,V00119,1/2/25 0:00,20/3/25 12:25
Stockyard Hill Wind Farm,VIC1,Existing Plant,Stockyard Hill Wind Farm,Stockyard Hill Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,STOCKYD1,2,3,3,6,6,6,,In Service,SS,1/5/22 0:00,2045,,Existing less Announced Withdrawal,Wind,1187,,6/5/25 0:00,11/6/25 12:16
Waubra Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Yaloak South Wind Farm,VIC1,Existing Plant,Yaloak South Wind Farm,Pacific Hydro Yaloak South Pty Ltd,Wind Turbine - Onshore,Wind - Wind,,14,2.05,2.05,28.7,28.7,28.7,,In Service,NS,,2047,,Existing less Announced Withdrawal,Wind,1567,,1/10/24 0:00,8/3/24 15:07
Yambuk Wind Farm,,,,,,,,,,,,,,,,,,,,,,,,,
Yendon Wind Farm,VIC1,Existing Plant,Yendon Wind Farm,Northleaf /InfraRed/Macquarie Capital,Wind Turbine - Onshore,Wind - Wind,YENDWF1,38,3.8,3.8,144.4,144.4,144.4,0,In Service,SS,1/1/21 0:00,2049,,Existing less Announced Withdrawal,Wind,1114,,1/2/25 0:00,11/3/25 9:53