Policy,Project,Region,Installed capacity (MW),Energy (MWh),Indicative commissioning date
LTESA Round 1,Coppabella Wind Farm,NSW,290,,July 2025
VRET2,Derby Solar Project BESS,VIC,85,100,July 2025
VRET2,Fulham Solar Farm BESS,VIC,65,116,July 2025
VRET2,Fulham Solar Farm,VIC,101,,July 2025
LTESA Round 1,Goulburn River BESS,NSW,49,392,July 2025
VRET2,Horsham Solar Farm BESS,VIC,50,100,July 2025
VRET2,Kiamal Solar Farm – Stage 2,VIC,150,,April 2026
VRET2,Kiamal Solar Farm – Stage 2 BESS,VIC,150,300,April 2026
QEJP,Kogan Gas,QLD,200,,July 2026
LTESA Round 1,Limondale BESS,NSW,50,400,July 2025
LTESA Round 1,New England Solar Farm - stage 2,NSW,320,,July 2025
LTESA Round 1,Silver City Energy Storage,NSW,200,1600,July 2025
CIS,Smithfield BESS,NSW,65,130,July 2025