Generator,Region,Installed capacity (MW),Commissioning date
Kurri Kurri OCGT,NSW,750,December 2024
Tallawarra B*,NSW,320,February 2024
Kidston ,QLD,250,February 2025
Snowy 2.0,NSW,2200,December 2028
Girgarre Solar Farm,VIC,93,December 2024
Glenrowan Solar Farm,VIC,127,May 2024
Mannum Solar Farm 2*,SA,30,February 2024
Metz Solar Farm,NSW,135,April 2023
Riverina Solar Farm,NSW,32,June 2025
Sebastopol Solar Farm,NSW,90,January 2023
Stubbo Solar Farm,NSW,400,July 2024
Walla Walla Solar Farm,NSW,304,May 2024
Wandoan South Solar Farm - stage 1,QLD,160,August 2023
Wellington North Solar Farm (Lightsource),NSW,437,October 2024
Wollar Solar Farm,NSW,280,June 2024
Woolooga Solar Farm,QLD,223,September 2022
Wunghnu Solar Farm,VIC,94,August 2024
Clarke Creek Wind Farm,QLD,450,August 2024
Crookwell 3 Wind Farm,NSW,58,June 2024
Flyers Creek Wind Farm,NSW,146,December 2023
Golden Plains Wind Farm East,VIC,756,August 2025
Goyder South Wind Farm 1A,SA,209,June 2024
Goyder South Wind Farm 1B,SA,204,December 2024
Hawkesdale Wind Farm,VIC,97,April 2024
Ryan Corner Wind Farm,VIC,218,March 2024
Rye Park Wind Farm,NSW,396,July 2024
Wambo Wind Farm,QLD,252,February 2025