Generator,Region,Installed capacity (MW)
Bayswater,NSW,2715
Callide B,QLD,700
Callide C,QLD,844
Eraring,NSW,2880
Gladstone,QLD,1680
Kogan Creek,QLD,744
Millmerran,QLD,852
Mt Piper,NSW,1390
Stanwell,QLD,1460
Tarong,QLD,1400
Tarong North,QLD,450
Vales Point B,NSW,1320
Loy Yang A Power Station,VIC,2210
Loy Yang B,VIC,1160
Yallourn W,VIC,1450
Angaston,SA,36
Bairnsdale,VIC,94
Barcaldine Power Station,QLD,37
Barker Inlet Power Station,SA,210
Bell Bay Three,TAS,120
Bolivar Power Station,SA,123
Braemar,QLD,564
Braemar 2 Power Station,QLD,519
Colongra,NSW,724
Condamine A,QLD,144
Darling Downs,QLD,645
Dry Creek GT,SA,156
Hallett GT,SA,277
Jeeralang A,VIC,212
Jeeralang B,VIC,228
Ladbroke Grove,SA,80
Laverton North,VIC,312
Lonsdale,SA,21
Mintaro GT,SA,90
Mortlake,VIC,584
Mt Stuart,QLD,424
Newport,VIC,500
Oakey Power Station,QLD,346
Osborne,SA,180
Pelican Point,SA,529
Port Lincoln GT,SA,74
Port Stanvac 1,SA,47
Quarantine,SA,234
Roma,QLD,80
Smithfield Energy Facility,NSW,185
Snapper Point Power Station,SA,154
Snuggery,SA,63
Somerton,VIC,170
Swanbank E GT,QLD,385
Tallawarra,NSW,440
Tamar Valley Combined Cycle,TAS,208
Tamar Valley Peaking,TAS,58
Torrens Island B,SA,800
Townsville Power Station,QLD,244
Uranquinty,NSW,692
Valley Power,VIC,300
Yarwun Cogen,QLD,180
Barron Gorge,QLD,70
Bastyan,TAS,80
Blowering,NSW,80
Bogong / Mackay,VIC,300
Catagunya / Liapootah / Wayatinah,TAS,177
Cethana,TAS,85
Dartmouth,VIC,185
Devils Gate,TAS,60
Eildon,VIC,135
Fisher,TAS,43
Gordon,TAS,432
Guthega,NSW,60
Hume Dam NSW,NSW,29
Hume Dam VIC,VIC,29
John Butters,TAS,144
Kareeya,QLD,86
Lake Echo,TAS,32
Lemonthyme / Wilmot,TAS,82
Mackintosh,TAS,80
Meadowbank,TAS,40
Murray 1,VIC,950
Murray 2,VIC,552
Poatina,TAS,300
Reece,TAS,231
Shoalhaven,NSW,247
Tarraleah,TAS,90
Trevallyn,TAS,93
Tribute,TAS,83
Tumut 3,NSW,1500
Tungatinah,TAS,125
Upper Tumut,NSW,616
West Kiewa,VIC,68
Wivenhoe,QLD,570
Adelaide Desalination Plant Solar Farm,SA,11
Avonlie Solar Farm,NSW,254
Bannerton Solar Park,VIC,100
Beryl Solar Farm,NSW,98
Bluegrass Solar Farm,QLD,148
Bolivar Waste Water Treatment Solar Farm,SA,11
Bomen Solar Farm,NSW,121
Broken Hill Solar Farm,NSW,53
Bungala One Solar Farm,SA,135
Bungala Two Solar Farm,SA,135
Childers Solar Farm,QLD,64
Clare Solar Farm,QLD,110
Clermont Solar Farm,QLD,93
Cohuna Solar Farm,VIC,31
Coleambally Solar Farm,NSW,150
Collinsville Solar Farm,QLD,43
Columboola Solar Farm,QLD,217
Corowa Solar Farm,NSW,36
Darling Downs Solar Farm,QLD,121
Darlington Point Solar Farm,NSW,275
Daydream Solar Farm,QLD,168
Edenvale Solar Park,QLD,180
Emerald Solar Farm,QLD,72
Finley Solar Farm,NSW,162
Gangarri Solar Farm,QLD,162
Gannawarra Solar Farm,VIC,55
Glenrowan West Solar Farm,VIC,132
Goonumbla Solar Farm,NSW,70
Gullen Range Solar Farm,NSW,10
Gunnedah Solar Farm,NSW,110
Hamilton Solar Farm,QLD,58
Happy Valley Reservoir,SA,8
Haughton Solar Farm,QLD,133
Hayman Solar Farm,QLD,58
Hillston Sun Farm,NSW,110
Hughenden Solar Farm,QLD,21
Jemalong Solar,NSW,55
Junee Solar Farm,NSW,36
Karadoc Solar Farm,VIC,105
Kennedy Energy Park Solar Farm,QLD,15
Kiamal Solar Farm stage 1,VIC,200
Kidston Solar Farm,QLD,50
Lilyvale Solar Farm,QLD,118
Limondale Solar Farm 1,NSW,230
Limondale Solar Farm 2,NSW,29
Longreach Solar Farm,QLD,14
Manildra Solar Farm,NSW,50
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),SA,17
Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),SA,12
Maryrorough Solar Farm,QLD,35
Middlemount Solar Farm,QLD,26
Molong Solar Farm,NSW,36
Moree Solar Farm,NSW,56
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,SA,6
Morgan To Whyalla Pipeline No 2 PS,SA,6
Morgan To Whyalla Pipeline No 3 PS,SA,7
Morgan To Whyalla Pipeline No 4 PS,SA,6
Moura Solar Farm,QLD,99
Murray Bridge - Onkaparinga Pipeline Pump 2,SA,14
Nevertire Solar Farm,NSW,105
New England Solar Farm,NSW,400
Numurkah Solar Farm,VIC,101
Nyngan Solar Plant,NSW,102
Oakey 1 Solar Farm,QLD,25
Oakey 2 Solar Farm,QLD,56
Parkes Solar Farm,NSW,55
Port Augusta Renewable Energy Park - Solar,SA,79
Ross River Solar Farm,QLD,128
Rugby Run Solar Farm,QLD,65
Sun Metals Corporation Solar Farm,QLD,143
Sunraysia Solar Farm,NSW,229
Suntop Solar Farm,NSW,150
Susan River Solar Farm,QLD,85
Tailem Bend Solar Farm,SA,108
Tailem Bend Solar Farm - stage 2,SA,105
Wagga North Solar Farm,NSW,56
Warwick Solar Farm,QLD,64
Wellington Solar Farm,NSW,216
Wemen Solar Farm,VIC,98
West Wyalong Solar Farm,NSW,105
Western Downs Green Power Hub,QLD,400
White Rock Solar Farm,NSW,20
Whitsunday Solar Farm,QLD,58
Winton Solar Farm,VIC,85
Wyalong Solar Farm,NSW,62
Yarranlea Solar Farm,QLD,103
Yatpool Solar Farm,VIC,94
Ararat Wind Farm,VIC,240
Bald Hills Wind Farm,VIC,107
Bango 973 Wind Farm,NSW,159
Bango 999 Wind Farm,NSW,85
Berrybank Wind Farm,VIC,290
Boco Rock Wind Farm,NSW,113
Bodangora Wind Farm,NSW,113
Bulgana Green Power Hub - Wind Farm,VIC,204
Canunda Wind Farm,SA,46
Capital Wind Farm,NSW,141
Cathedral Rocks Wind Farm,SA,62
Cattle Hill Wind Farm,TAS,144
Challicum Hills Wind Farm,VIC,53
Cherry Tree Wind Farm,VIC,58
Clements Gap Wind Farm,SA,57
Collector Wind Farm,NSW,227
Coopers Gap Wind Farm,QLD,453
Crookwell 2 Wind Farm,NSW,96
Crowlands Wind Farm,VIC,80
Crudine Ridge Wind Farm,NSW,142
Cullerin Range Wind Farm,NSW,30
Dulacca Wind Farm,QLD,173
Dundonnell Wind Farm,VIC,336
Elaine Wind Farm,VIC,84
Granville Harbour Wind Farm,TAS,112
Gullen Range Wind Farm,NSW,166
Gullen Range Wind Farm 2,NSW,111
Gunning Wind Farm,NSW,47
Hallett 4 North Brown Hill Wind Farm,SA,132
Hallett 5 The Bluff Wind Farm,SA,53
Hallett Stage 1 Brown Hill Wind Farm,SA,95
Hallett Stage 2 Hallett Hill Wind Farm,SA,71
Hornsdale Wind Farm Stage 1,SA,102
Hornsdale Wind Farm Stage 2,SA,102
Hornsdale Wind Farm Stage 3,SA,112
Kaban Green Power Hub - Wind Farm,QLD,157
Kennedy Energy Park Wind Farm,QLD,43
Kiata Wind Farm,VIC,31
Lake Bonney 1 Wind Farm,SA,81
Lake Bonney 2 Wind Farm,SA,159
Lake Bonney 3 Wind Farm,SA,39
Lincoln Gap Wind Farm - stage 2,SA,86
Lincoln Gap Wind Farm - stage 1,SA,126
Macarthur Wind Farm,VIC,420
Moorabool Wind Farm,VIC,312
Mortlake South Wind Farm,VIC,158
Mortons Lane Wind Farm,VIC,20
Mount Emerald Wind Farm,QLD,181
Mount Millar Wind Farm,SA,72
Mt Gellibrand Wind Farm,VIC,139
Mt Mercer Wind Farm,VIC,131
Murra Warra Wind Farm - stage 1,VIC,226
Murra Warra Wind Farm - stage 2,VIC,209
Musselroe Wind Farm,TAS,168
Oaklands Hill Wind Farm,VIC,67
Port Augusta Renewable Energy Park - Wind,SA,210
Portland Wind Farm,VIC,152
Salt Creek Wind Farm,VIC,54
Sapphire Wind Farm,NSW,270
Silverton Wind Farm,NSW,199
Snowtown S2 Wind Farm,SA,270
Snowtown Wind Farm,SA,99
Starfish Hill Wind Farm,SA,33
Stockyard Hill Wind Farm,VIC,528
Taralga Wind Farm,NSW,107
Waterloo Wind Farm,SA,131
Wattle Point Wind Farm,SA,91
Waubra Wind Farm,VIC,192
White Rock Wind Farm - Stage 1,NSW,172
Willogoleche Wind Farm,SA,119
Woodlawn Wind Farm,NSW,48
Woolnorth Wind Farm,TAS,140
Yaloak South Wind Farm,VIC,29
Yambuk Wind Farm,VIC,30
Yendon Wind Farm,VIC,144