Generator,NSW Low,NSW Medium,NSW High,QLD Low,QLD Medium,QLD High,SA Low,SA Medium,SA High,TAS Low,TAS Medium,TAS High,VIC Low,VIC Medium,VIC High
OCGT (small GT),13.47,14.55,15.76,13.47,15.09,16.84,13.47,15.09,16.71,13.47,14.69,15.76,13.47,13.88,14.15 
OCGT (large GT),10.91,11.78,12.76,10.91,12.22,13.63,10.91,12.22,13.52,10.91,11.89,12.76,10.91,11.23,11.45 
CCGT,11.66,12.59,13.64,11.66,13.05,14.57,11.66,13.05,14.45,11.66,12.70,13.64,11.66,12.01,12.24 
CCGT with CCS,17.48,18.88,20.46,17.48,19.58,21.85,17.48,19.58,21.68,17.48,19.06,20.46,17.48,18.01,18.36 
Biomass,161.48,174.40,188.93,161.48,180.86,201.85,161.48,180.86,200.23,161.48,176.01,188.93,161.48,166.32,169.55 
Large scale Solar PV,18.18,19.63,21.27,18.18,20.36,22.72,18.18,20.36,22.54,18.18,19.81,21.27,18.18,18.72,19.09 
Solar Thermal (15hrs storage),141.15,152.44,165.14,141.15,158.09,176.43,141.15,158.09,175.02,141.15,153.85,165.14,141.15,145.38,148.20 
Battery storage (1hr storage),7.59,8.20,8.88,7.59,8.50,9.49,7.59,8.50,9.41,7.59,8.28,8.88,7.59,7.82,7.97 
Battery storage (2hrs storage),10.80,11.66,12.64,10.80,12.10,13.50,10.80,12.10,13.39,10.80,11.77,12.64,10.80,11.12,11.34 
Battery storage (4hrs storage),17.32,18.71,20.27,17.32,19.40,21.65,17.32,19.40,21.48,17.32,18.88,20.27,17.32,17.84,18.19 
Battery Storage (8hrs storage),30.69,33.14,35.91,30.69,34.37,38.36,30.69,34.37,38.05,30.69,33.45,35.91,30.69,31.61,32.22 
Wind,26.73,28.87,31.28,26.73,29.94,33.42,26.73,29.94,33.15,26.73,29.14,31.28,26.73,27.53,28.07 
Wind - offshore (fixed),169.73,183.31,198.59,169.73,190.10,212.16,169.73,190.10,210.47,169.73,185.01,198.59,169.73,174.82,178.22 
Wind - offshore (floating),625.63,675.69,731.99,625.63,700.71,782.04,625.63,700.71,775.79,625.63,681.94,731.99,625.63,644.40,656.92 
Pumped Hydro (8hrs storage),19.09,20.62,22.34,19.09,21.38,23.87,19.09,21.38,23.67,19.09,20.81,22.34,19.09,19.67,20.05 
Pumped Hydro (24hrs storage),19.09,20.62,22.34,19.09,21.38,23.87,19.09,21.38,23.67,19.09,20.81,22.34,19.09,19.67,20.05 
Pumped Hydro (48hrs storage),19.09,20.62,22.34,19.09,21.38,23.87,19.09,21.38,23.67,19.09,20.81,22.34,19.09,19.67,20.05 
BOTN - Cethana,,,,,,,,,,,20.81 ,,,,
Hydrogen reciprocating engines,35.29,38.11,41.29,35.29,39.52,44.11,35.29,39.52,43.76,35.29,38.46,41.29,35.29,36.35,37.05 