GenName,TraceName
Adelaide Desalination Plant Solar Farm,Adelaide
Avonlie Solar Farm,Avonlie
Bannerton Solar Park,Bannerton
Beryl Solar Farm,Beryl
Bluegrass Solar Farm,Bluegrass
Bolivar Waste Water Treatment Solar Farm,Bolivar
Bomen Solar Farm,Bomen
Broken Hill Solar Farm,Broken
Bungala One Solar Farm,Bungala_One
Bungala Two Solar Farm,Bungala_Two
Childers Solar Farm,Childers
Clare Solar Farm,Clare
Clermont Solar Farm,Clermont
Cohuna Solar Farm,Cohuna
Coleambally Solar Farm,Coleambally
Collinsville Solar Farm,Collinsville
Columboola Solar Farm,Columboola
Corowa Solar Farm,Corowa
Darling Downs Solar Farm,Darling
Darlington Point Solar Farm,Darlington
Daydream Solar Farm,Daydream
Edenvale Solar Park,Edenvale
Emerald Solar Farm,Emerald
Finley Solar Farm,Finley
Gangarri Solar Farm,Gangarri
Gannawarra Solar Farm,Gannawarra
Glenrowan West Solar Farm,Glenrowan
Goonumbla Solar Farm,Goonumbla
Gullen Range Solar Farm,Gullen
Gunnedah Solar Farm,Gunnedah
Hamilton Solar Farm,Hamilton
Happy Valley Reservoir,Happy
Haughton Solar Farm,Haughton
Hayman Solar Farm,Hayman
Hillston Sun Farm,Hillston
Hughenden Solar Farm,Hughenden
Jemalong Solar,Jemalong
Junee Solar Farm,Junee
Karadoc Solar Farm,Karadoc
Kennedy Energy Park Solar Farm,Kennedy
Kiamal Solar Farm stage 1,Kiamal
Kidston Solar Farm,Kidston
Lilyvale Solar Farm,Lilyvale
Limondale Solar Farm 1,Limondale_One
Limondale Solar Farm 2,Limondale_Two
Longreach Solar Farm,Longreach
Manildra Solar Farm,Manildra
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Mannum-Adelaide_2
Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Mannum-Adelaide_3
Maryrorough Solar Farm,Maryrorough
Middlemount Solar Farm,Middlemount
Molong Solar Farm,Molong
Moree Solar Farm,Moree
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Morgan-Whyalla_1
Morgan To Whyalla Pipeline No 2 PS,Morgan-Whyalla_2
Morgan To Whyalla Pipeline No 3 PS,Morgan-Whyalla_3
Morgan To Whyalla Pipeline No 4 PS,Morgan-Whyalla_4
Moura Solar Farm,Moura
Murray Bridge - Onkaparinga Pipeline Pump 2,Murray
Nevertire Solar Farm,Nevertire
New England Solar Farm,New
Numurkah Solar Farm,Numurkah
Nyngan Solar Plant,Nyngan
Oakey 1 Solar Farm,Oakey_One
Oakey 2 Solar Farm,Oakey_Two
Parkes Solar Farm,Parkes
Port Augusta Renewable Energy Park - Solar,Port
Ross River Solar Farm,Ross
Rugby Run Solar Farm,Rugby
Sun Metals Corporation Solar Farm,Sun
Sunraysia Solar Farm,Sunraysia
Suntop Solar Farm,Suntop
Susan River Solar Farm,Susan
Tailem Bend Solar Farm,Tailem_Bend_FFP
Tailem Bend Solar Farm - stage 2,Tailem_Bend_Stage_Two_SAT
Wagga North Solar Farm,Wagga
Warwick Solar Farm,Warwick
Wellington Solar Farm,Wellington
Wemen Solar Farm,Wemen
West Wyalong Solar Farm,West
Western Downs Green Power Hub,Western
White Rock Solar Farm,White
Whitsunday Solar Farm,Whitsunday
Winton Solar Farm,Winton
Wyalong Solar Farm,Wyalong
Yarranlea Solar Farm,Yarranlea
Yatpool Solar Farm,Yatpool
Ararat Wind Farm,ARWF1
Bald Hills Wind Farm,BALDHWF1
Bango 973 Wind Farm,BANGOWF1
Bango 999 Wind Farm,BANGOWF2
Berrybank Wind Farm,BRYB1WF1
Boco Rock Wind Farm,BOCORWF1
Bodangora Wind Farm,BODWF1
Bulgana Green Power Hub - Wind Farm,BULGANA1
Canunda Wind Farm,CNUNDAWF
Capital Wind Farm,CAPTL
Cathedral Rocks Wind Farm,CATHROCK
Cattle Hill Wind Farm,CTHLWF1
Challicum Hills Wind Farm,CHALLHWF
Cherry Tree Wind Farm,CHYTWF1
Clements Gap Wind Farm,CLEMGPWF
Collector Wind Farm,COLWF01
Coopers Gap Wind Farm,COOPGWF1
Crookwell 2 Wind Farm,CROOKWF2
Crowlands Wind Farm,CROWLWF1
Crudine Ridge Wind Farm,CRURWF1
Cullerin Range Wind Farm,CULLRGWF
Dulacca Wind Farm,DULAWF1
Dundonnell Wind Farm,DUNDWF2
Elaine Wind Farm,ELAINWF1
Granville Harbour Wind Farm,GRANWF1
Gullen Range Wind Farm,GULLRWF1
Gullen Range Wind Farm 2,GULLRWF2
Gunning Wind Farm,GUNNING1
Hallett 4 North Brown Hill Wind Farm,NBHWF1
Hallett 5 The Bluff Wind Farm,BLUFF1
Hallett Stage 1 Brown Hill Wind Farm,HALLWF1
Hallett Stage 2 Hallett Hill Wind Farm,HALLWF2
Hornsdale Wind Farm Stage 1,HDWF1
Hornsdale Wind Farm Stage 2,HDWF2
Hornsdale Wind Farm Stage 3,HDWF3
Kaban Green Power Hub - Wind Farm,KABANWF1
Kennedy Energy Park Wind Farm,KEPWF1
Kiata Wind Farm,KIATAWF1
Lake Bonney 1 Wind Farm,LKBONNY1
Lake Bonney 2 Wind Farm,LKBONNY2
Lake Bonney 3 Wind Farm,LKBONNY3
Lincoln Gap Wind Farm - stage 2,LGAPWF2
Lincoln Gap Wind Farm - stage 1,LGAPWF1
Macarthur Wind Farm,MACARTH1
Moorabool Wind Farm,MOORAWF1
Mortlake South Wind Farm,MRTLSWF1
Mortons Lane Wind Farm,MLWF1
Mount Emerald Wind Farm,MEWF1
Mount Millar Wind Farm,MEWF1
Mt Gellibrand Wind Farm,MTGELWF1
Mt Mercer Wind Farm,MTGELWF1
Murra Warra Wind Farm - stage 1,MUWAWF1
Murra Warra Wind Farm - stage 2,MUWAWF2
Musselroe Wind Farm,MUSSELR1
Oaklands Hill Wind Farm,OAKLAND1
Port Augusta Renewable Energy Park - Wind,PAREPW1
Portland Wind Farm,PORTWF
Salt Creek Wind Farm,SALTCRK1
Sapphire Wind Farm,SAPHWF1
Silverton Wind Farm,STWF1
Snowtown S2 Wind Farm,SNOWNTH1
Snowtown Wind Farm,SNOWTWN1
Starfish Hill Wind Farm,STARHLWF
Stockyard Hill Wind Farm,STOCKYD1
Taralga Wind Farm,TARALGA1
Waterloo Wind Farm,WATERLWF
Wattle Point Wind Farm,WPWF
Waubra Wind Farm,WAUBRAWF
White Rock Wind Farm - Stage 1,WRWF1
Willogoleche Wind Farm,WGWF1
Woodlawn Wind Farm,WOODLWN1
Woolnorth Wind Farm,WOOLNTH1
Yaloak South Wind Farm,YSWF1
Yambuk Wind Farm,YAMBUK
Yendon Wind Farm,YENDWF1